DataStore	Total Read Count	Forward Read Count	Reverse Read Count	Unknown Read Count	Mean Read Length	Total Read Length	Fold Coverage	Total Quantitation	Median Quantitation	Mean Quantitation	Valid Quantitations
01_BAT_r1_C_GRCm38_bismark_bt2_pe.bam	85345	42395	42950	0	282	24109152	0.00884564989661128	11648.907228946686	8.908101	8.778378	1327
01_BAT_r1_N_GRCm38_bismark_bt2_pe.bam	277071	137656	139415	0	258	71575551	0.026261075682091406	2286.581994652748	1.6996692	1.7231213	1327
01_BAT_r1_X_GRCm38_bismark_bt2_pe.bam	139412	69461	69951	0	258	36104993	0.013246924968476743	10042.27658033371	7.749464	7.5676537	1327
01_BAT_r2_C_GRCm38_bismark_bt2_pe.bam	66737	33117	33620	0	251	16766153	0.006151502945894526	11178.21860051155	8.660256	8.4236765	1327
01_BAT_r2_N_GRCm38_bismark_bt2_pe.bam	202046	101072	100974	0	235	47641557	0.017479691270412597	2871.1262335777283	2.1552413	2.163622	1327
01_BAT_r2_X_GRCm38_bismark_bt2_pe.bam	99854	49772	50082	0	234	23422858	0.008593848570287362	9477.686054229736	7.4114985	7.14219	1327
01_BAT_r3_C_GRCm38_bismark_bt2_pe.bam	55709	28118	27591	0	257	14357512	0.0052677723604046805	11822.633065700531	9.120142	8.909294	1327
01_BAT_r3_N_GRCm38_bismark_bt2_pe.bam	204863	101643	103220	0	236	48389274	0.01775402870060278	2845.769623041153	2.1352656	2.1445136	1327
01_BAT_r3_X_GRCm38_bismark_bt2_pe.bam	75658	37687	37971	0	241	18246141	0.006694510667575734	10637.223701238632	8.247926	8.015994	1327
01_Blood_r1_C_GRCm38_bismark_bt2_pe.bam	69521	34495	35026	0	269	18722591	0.006869320212649756	11595.280266523361	8.890801	8.737966	1327
01_Blood_r1_N_GRCm38_bismark_bt2_pe.bam	244669	122169	122500	0	250	61223296	0.022462832451867316	2504.5494105815887	1.8790936	1.8873771	1327
01_Blood_r1_X_GRCm38_bismark_bt2_pe.bam	119166	59501	59665	0	249	29706702	0.010899391462419007	9830.641621351242	7.5925174	7.40817	1327
01_Blood_r2_C_GRCm38_bismark_bt2_pe.bam	36944	18345	18599	0	251	9277167	0.003403793352598863	10940.706582069397	8.565871	8.244692	1327
01_Blood_r2_N_GRCm38_bismark_bt2_pe.bam	115707	57845	57862	0	238	27571328	0.01011592256221354	3934.3806416988373	2.9594488	2.9648685	1327
01_Blood_r2_X_GRCm38_bismark_bt2_pe.bam	57384	28792	28592	0	234	13483408	0.004947063529284137	9256.608892679214	7.1232076	6.9755907	1327
01_Blood_r3_C_GRCm38_bismark_bt2_pe.bam	67314	33655	33659	0	258	17389920	0.006380363110659323	11566.08640408516	8.937344	8.715965	1327
01_Blood_r3_N_GRCm38_bismark_bt2_pe.bam	216065	107986	108079	0	235	50881567	0.018668451211928564	2746.720243215561	2.0584598	2.0698721	1327
01_Blood_r3_X_GRCm38_bismark_bt2_pe.bam	99454	49782	49672	0	237	23669397	0.00868430375012366	10005.599054813385	7.7892585	7.5400143	1327
01_Liver_r1_C_GRCm38_bismark_bt2_pe.bam	9274	4666	4608	0	293	2719435	9.977609302306068E-4	11329.351057052612	8.752593	8.537567	1327
01_Liver_r1_N_GRCm38_bismark_bt2_pe.bam	28888	14524	14364	0	269	7796690	0.0028606062167765255	6584.05906867981	4.961383	4.9616117	1327
01_Liver_r1_X_GRCm38_bismark_bt2_pe.bam	14299	7273	7026	0	269	3849149	0.0014122530918504067	9993.515756607056	7.7129045	7.5309086	1327
01_Liver_r2_C_GRCm38_bismark_bt2_pe.bam	69843	34222	35621	0	279	19509347	0.007157981055223493	11911.951184749603	9.161669	8.976603	1327
01_Liver_r2_N_GRCm38_bismark_bt2_pe.bam	240950	120111	120839	0	247	59596239	0.021865865101716193	2534.6088129281998	1.9011911	1.9100293	1327
01_Liver_r2_X_GRCm38_bismark_bt2_pe.bam	89988	44619	45369	0	255	22986828	0.00843386912661305	10728.553103208542	8.281479	8.084818	1327
01_Liver_r3_C_GRCm38_bismark_bt2_pe.bam	97973	48191	49782	0	250	24573468	0.009016007476064717	11694.5233066082	8.995328	8.812753	1327
01_Liver_r3_N_GRCm38_bismark_bt2_pe.bam	293871	146801	147070	0	231	67933814	0.02492492207048634	2155.6189258098602	1.614742	1.6244302	1327
01_Liver_r3_X_GRCm38_bismark_bt2_pe.bam	140956	69746	71210	0	234	33024455	0.012116675317173906	10292.859076023102	7.9141464	7.756488	1327
01_scAT_r1_C_GRCm38_bismark_bt2_pe.bam	89743	44361	45382	0	273	24508045	0.008992003771862014	11207.630895853043	8.6875105	8.445841	1327
01_scAT_r1_N_GRCm38_bismark_bt2_pe.bam	274586	137102	137484	0	253	69496319	0.025498205286408022	2303.1492270231247	1.7126669	1.7356061	1327
01_scAT_r1_X_GRCm38_bismark_bt2_pe.bam	134518	67006	67512	0	251	33780762	0.01239416441908659	9455.973404407501	7.286446	7.125828	1327
01_scAT_r2_C_GRCm38_bismark_bt2_pe.bam	33694	17010	16684	0	292	9870142	0.0036213559299737566	11757.801743507385	9.139292	8.860438	1327
01_scAT_r2_N_GRCm38_bismark_bt2_pe.bam	121256	60660	60596	0	255	30956671	0.011358005193653407	3847.6553065776825	2.891869	2.8995142	1327
01_scAT_r2_X_GRCm38_bismark_bt2_pe.bam	42879	21392	21487	0	267	11455437	0.004203000798812295	10566.154295921326	8.244025	7.962437	1327
