DataStore	Total Read Count	Forward Read Count	Reverse Read Count	Unknown Read Count	Mean Read Length	Total Read Length	Fold Coverage	Total Quantitation	Median Quantitation	Mean Quantitation	Valid Quantitations
01_BAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	311159	119676	191483	0	1	311159	1.1416426327146095E-4	7289.030806541443	5.5911665	5.492864	1327
01_BAT_r1_N_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	415990	300457	115533	0	1	415990	1.526267659887551E-4	1489.8503761291504	1.1133761	1.1227207	1327
01_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	356617	170302	186315	0	1	356617	1.3084280729491542E-4	6637.59054017067	5.1879926	5.001952	1327
01_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	163206	72264	90942	0	1	163206	5.988029512719239E-5	7062.249547719955	5.422589	5.3219666	1327
01_BAT_r2_N_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	283084	203875	79209	0	1	283084	1.0386354341008375E-4	2222.5660774707794	1.6686947	1.6748803	1327
01_BAT_r2_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	197829	104596	93233	0	1	197829	7.258347673931928E-5	6304.289566278458	4.9226365	4.7507834	1327
01_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	183221	69965	113256	0	1	183221	6.722380031064615E-5	7404.602174043655	5.7702713	5.5799565	1327
01_BAT_r3_N_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	278988	202070	76918	0	1	278988	1.0236072066557081E-4	2253.9251976013184	1.689722	1.6985118	1327
01_BAT_r3_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	196794	87359	109435	0	1	196794	7.220373515226584E-5	7000.8431878089905	5.3452415	5.275692	1327
01_Blood_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	249303	119986	129317	0	1	249303	9.146929166877716E-5	7223.423848390579	5.58899	5.443424	1327
01_Blood_r1_N_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	355210	285633	69577	0	1	355210	1.3032657887657322E-4	1784.7065682411194	1.3412528	1.3449183	1327
01_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	287232	163891	123341	0	1	287232	1.0538544495897041E-4	6515.6346962451935	5.1216397	4.910049	1327
01_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	90329	47191	43138	0	1	90329	3.314171769753662E-5	6827.293313026428	5.468667	5.1449084	1327
01_Blood_r2_N_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	162705	131001	31704	0	1	162705	5.969647818505348E-5	3278.481353998184	2.4676664	2.4705963	1327
01_Blood_r2_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	109808	67179	42629	0	1	109808	4.028856443590764E-5	6111.1334137916565	4.7719073	4.605225	1327
01_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	227741	115186	112555	0	1	227741	8.355819205520582E-5	7203.070044755936	5.593966	5.428086	1327
01_Blood_r3_N_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	327484	263548	63936	0	1	327484	1.2015390714455027E-4	1942.662452697754	1.4585006	1.4639506	1327
01_Blood_r3_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	248598	144506	104092	0	1	248598	9.121062710947988E-5	6618.73851275444	5.1780386	4.987746	1327
01_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov	35384	16816	18568	0	1	35384	1.2982392576134305E-5	7397.488320827484	5.820759	5.5745955	1327
