Sample Name	% mCpG	allCs(M)	% Bups	% Aligned	% Dups	% Failed	M Seqs
01_BAT_r1_C_1					45.1%	18%	0.1
01_BAT_r1_C_1_val_1					44.3%	18%	0.1
01_BAT_r1_C_2					44.7%	9%	0.1
01_BAT_r1_C_2_val_2					37.2%	9%	0.1
01_BAT_r1_C_GRCm39	38.7%	2.7	40.0%	72.0%			
01_Blood_r3_C_1					44.5%	18%	0.1
01_Blood_r3_C_1_val_1					43.4%	18%	0.1
01_Blood_r3_C_2					48.3%	9%	0.1
01_Blood_r3_C_2_val_2					41.0%	9%	0.1
01_Blood_r3_C_GRCm39	50.8%	2.0	42.1%	69.2%			
01_Liver_r2_C_1					52.3%	27%	0.1
01_Liver_r2_C_1_val_1					51.4%	27%	0.1
01_Liver_r2_C_2					50.0%	27%	0.1
01_Liver_r2_C_2_val_2					43.6%	18%	0.1
01_Liver_r2_C_GRCm39	47.4%	1.9	47.6%	71.2%			
01_scAT_r1_C_1					43.6%	9%	0.1
01_scAT_r1_C_1_val_1					42.5%	9%	0.1
01_scAT_r1_C_2					46.0%	9%	0.1
01_scAT_r1_C_2_val_2					38.9%	9%	0.1
01_scAT_r1_C_GRCm39	47.6%	2.6	41.3%	70.3%			
02_BAT_r1_C_1					43.6%	9%	0.1
02_BAT_r1_C_1_val_1					43.0%	18%	0.1
02_BAT_r1_C_2					45.3%	18%	0.1
02_BAT_r1_C_2_val_2					39.3%	9%	0.1
02_BAT_r1_C_GRCm39	38.7%	2.2	40.0%	75.3%			
02_Blood_r3_C_1					47.2%	18%	0.1
02_Blood_r3_C_1_val_1					46.5%	18%	0.1
02_Blood_r3_C_2					47.9%	18%	0.1
02_Blood_r3_C_2_val_2					41.1%	18%	0.1
02_Blood_r3_C_GRCm39	51.9%	1.5	44.0%	71.3%			
02_Liver_r2_C_1					51.0%	27%	0.1
02_Liver_r2_C_1_val_1					50.1%	27%	0.1
02_Liver_r2_C_2					49.3%	18%	0.1
02_Liver_r2_C_2_val_2					42.5%	18%	0.1
02_Liver_r2_C_GRCm39	45.7%	1.3	47.3%	70.0%			
02_scAT_r1_C_1					46.8%	9%	0.1
02_scAT_r1_C_1_val_1					46.0%	18%	0.1
02_scAT_r1_C_2					46.4%	9%	0.1
02_scAT_r1_C_2_val_2					39.6%	18%	0.1
