Plate 1: cols 1-6,Plate 1: cols 7-12,Plate 2: cols 1-6,Plate 2: cols 7-12,A: Ladder
0.123681,0,0,0.2022422,0.04153074
0.2840938,0.02244814,0.02346718,0.1788392,0.1980798
0.3822038,0.1323323,0.1267586,0.105797,0.2947788
0.3238321,0.279196,0.2909785,0.01648293,0.2655827
0.2384986,0.2801265,0.3730119,0.1227262,0.4020845
0.2115667,0.3665204,0.4898421,0.2839994,0.8678584
0.1522988,0.428033,0.5218689,0.3449672,1.124467
0.1143768,0.5824954,0.5270781,0.3790418,1.211113
0.1574584,0.7602515,0.5740017,0.5150416,1.3086
0.169439,0.6205725,0.7280084,0.5077299,1.23742
0.1991083,0.3539749,0.6872752,0.5239374,1.217958
0.2094774,0.1923173,0.6120081,0.6107299,1.301577
0.1940358,0.1387248,0.5573217,0.7666662,1.444302
0.1659303,0.2143948,0.5545886,0.9102589,1.413066
0.230549,0.4987607,0.6175543,1.09703,1.329231
0.3673766,0.4135157,0.7516017,1.216632,0.9858691
0.5022258,0.3630766,0.8739893,1.26836,0.659969
0.6034974,0.3799881,0.9888902,1.259951,0.6826086
0.7640147,0.4628414,1.154019,1.03055,0.8995945
0.8801098,0.5919831,1.251242,0.8038899,0.8252912
0.9723383,0.592881,1.439786,0.6448565,0.7703726
1.052564,0.572974,1.570553,0.5546618,0.8332576
1.121743,0.4855883,1.586651,0.4659784,0.9395911
0.9791793,0.3557814,1.560001,0.5309863,1.220682
0.9750424,0.4245478,1.526127,0.6365441,1.484139
0.9619418,0.6161277,1.565586,0.7201372,1.559714
0.9111136,0.7371579,1.602106,0.7602447,1.36193
0.9054072,0.6890239,1.587101,1.027503,1.391422
1.060412,0.4711924,1.62588,1.163127,1.382777
1.143398,0.3335787,1.619088,1.206981,1.468985
1.159731,0.3505967,1.642254,1.197381,1.590909
1.13959,0.3923821,1.62487,1.191245,1.526094
1.152569,0.4957175,1.481505,1.35708,1.448197
1.206527,0.6983885,1.399827,1.488748,1.45661
1.269716,0.967733,1.243446,1.548823,1.414176
1.281844,0.8609882,1.131244,1.533965,1.270052
1.17515,0.956706,1.08769,1.551133,1.424271
1.369079,1.223981,1.081668,1.487944,1.543843
1.437258,1.513161,1.098028,1.467894,1.660481
1.397067,1.673364,1.128284,1.544355,1.889401
1.339439,1.799754,1.217513,1.751587,2.413351
1.514698,1.837872,1.38582,1.850446,2.778611
1.540849,1.862427,1.623954,1.953221,2.979641
1.601615,1.926526,1.817187,2.142801,3.080631
1.711273,1.741797,1.935356,2.438457,3.151417
1.862654,1.759074,2.04278,2.683583,3.305539
2.044423,1.707871,2.18236,2.837238,3.336721
2.286564,1.573969,2.285416,2.857395,3.267293
2.464793,1.439391,2.38024,2.806623,3.226492
2.594788,1.548149,2.520729,2.791492,3.391199
2.770118,1.720232,2.665384,2.78848,3.592596
2.898273,1.903725,2.775007,2.903861,3.686674
2.941427,2.081437,3.153559,3.099062,3.81147
3.077824,2.247447,3.46312,3.34556,4.015296
3.35602,2.39521,3.834715,3.623373,4.197389
3.548604,2.572164,4.240925,4.04135,4.466471
3.751044,2.71821,4.551552,4.601342,4.800923
4.05082,2.874147,5.080632,5.272592,5.341723
4.510402,3.115705,5.641142,6.013596,6.244812
5.17587,3.34831,6.324418,6.876866,7.360601
6.025936,3.614011,7.233667,7.953954,8.361105
6.832996,3.917346,8.537843,9.226726,9.655155
7.710292,4.302246,9.989996,10.67516,11.40995
8.75464,4.834897,11.80712,12.26917,13.59253
10.08402,5.612368,13.98542,14.28575,15.94478
11.67638,6.564716,16.45238,16.6608,18.74644
13.64331,7.73073,19.00192,19.45587,21.92473
15.90939,9.140587,22.34046,22.73773,25.43513
18.44983,10.8183,26.01938,26.73336,30.16413
21.49984,13.07181,30.11121,31.0192,35.46098
25.30451,15.63243,34.78643,35.67171,41.81993
29.78875,18.6635,40.15606,40.75788,49.18675
34.87593,22.26687,46.38786,46.36629,57.00239
40.44691,26.48695,53.56537,52.68339,65.46823
46.53209,31.3691,61.79642,59.66747,74.61787
54.00649,37.54943,71.16776,67.32607,84.83215
62.31139,44.27988,81.71505,75.76524,96.18521
71.31495,51.36773,93.07838,85.98878,107.1405
81.33508,59.17824,105.1769,96.93859,119.3149
92.56506,67.98597,118.0382,108.6122,132.2551
104.5265,77.92757,131.9453,121.199,146.0557
117.4283,88.94762,146.9171,135.0239,161.1026
131.4174,100.8626,162.5742,150.0113,176.8463
146.4152,113.3501,178.8577,164.9386,193.2937
162.6478,127.839,195.8054,180.4702,210.2493
178.7307,143.5414,213.9356,196.9736,227.6424
195.0824,160.1116,233.3418,213.8645,245.9878
212.8765,177.6425,253.3258,231.3432,264.4543
233.7937,196.9776,273.2425,249.0606,283.0284
253.9475,216.5014,292.5706,267.226,301.2135
273.9391,237.3791,312.6625,286.2478,318.2761
294.071,259.3834,332.003,304.6471,336.9236
314.2661,281.9403,350.6456,323.5847,355.2163
333.6474,303.9487,368.7479,342.5159,372.9138
353.6324,326.3532,386.5918,361.1668,390.0582
373.7472,348.3131,403.5059,379.7528,407.3478
393.2181,370.2285,419.992,395.6222,422.8247
410.6942,392.2711,436.0851,411.2889,438.0747
426.9066,413.8713,451.8969,426.4694,453.1125
443.3814,433.7813,467.6685,440.2562,467.5899
460.1514,452.3868,480.6182,451.6021,480.2127
476.4047,470.0972,492.158,461.1936,491.1669
486.9819,486.9113,502.7107,469.8786,500.9788
496.2539,501.4152,512.3823,478.1145,510.0269
505.1292,512.7514,520.0601,486.0088,518.6575
513.4463,521.7082,525.4061,492.1565,524.8479
518.1736,528.2164,529.0822,496.9817,529.3087
522.569,532.3474,531.2521,500.4163,532.456
526.4899,534.5091,532.0184,502.3342,534.5143
528.6982,534.5128,530.8323,501.6947,532.468
528.0019,532.6276,527.4054,499.4345,529.9418
526.3918,528.7186,522.7322,495.864,525.8345
523.2557,522.6852,516.3434,490.8551,519.7818
518.354,514.2493,506.8875,483.7592,511.9522
511.2325,504.1546,495.7867,474.3005,501.351
501.099,491.3922,483.8395,464.2579,489.372
490.2722,476.5223,470.2683,453.8458,476.0916
478.1127,460.4623,454.9389,442.9365,461.4224
463.5341,443.4857,438.5926,429.5239,444.208
446.2318,423.8077,422.534,415.5263,425.3132
428.2834,403.7639,405.0217,400.2095,405.3602
409.7313,383.4384,386.3547,383.5418,384.7146
389.1302,362.4381,366.9723,365.9736,363.7633
367.22,340.9397,347.0099,347.3275,342.963
345.4825,319.8299,326.8948,328.903,321.853
323.5274,298.699,306.4348,310.2873,300.8332
301.9081,277.5839,285.7879,291.1077,280.1337
280.7618,256.6579,265.241,271.2068,259.195
260.2481,236.0257,245.3243,251.7982,239.2975
240.6524,216.348,225.1676,232.9727,219.7705
221.0284,197.4016,206.1337,214.6628,200.4884
202.3971,179.2219,188.5835,196.6867,181.497
184.5729,161.9133,172.2682,179.6258,163.7812
167.3566,145.7309,155.4258,163.2839,147.1846
151.3098,130.797,139.9715,147.6379,132.142
136.5109,116.9357,125.8662,132.8236,118.7394
123.0031,104.4156,112.9871,119.6858,106.3511
110.6131,93.62405,101.1542,107.8076,95.31042
98.97472,84.05557,90.99023,96.8364,85.37424
88.75327,75.7088,81.70612,86.72912,76.56757
79.67609,68.18252,73.35491,77.46984,68.92577
71.93848,61.47663,66.01017,69.38564,62.75373
65.4119,55.79242,59.81953,62.26155,57.05569
59.40752,51.24633,54.24447,55.99689,51.96858
54.28436,47.57121,49.26184,50.5235,47.58845
49.71131,44.24571,44.89836,45.86121,44.05521
45.65821,41.15345,41.15576,41.96009,40.42482
42.12764,38.46274,38.0605,38.55184,37.56559
39.36042,36.35577,35.53836,35.57925,35.31409
36.99423,34.82116,33.38273,33.00096,33.30104
34.91242,33.50745,31.54401,30.97523,31.40897
33.06931,32.2973,30.03964,29.20624,29.87262
31.43818,31.28148,28.65069,27.71614,28.78363
30.40983,30.29177,27.38083,26.47691,28.06055
29.50054,29.33991,26.27658,25.38693,27.3674
28.58592,28.46972,25.2906,24.45436,26.84638
27.59379,27.7535,24.21858,23.58405,26.36573
26.54097,27.30575,23.23227,22.75506,25.92495
25.58954,26.59846,22.37066,21.95778,25.51911
