A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
2.509517,0,0,0.3895025
2.156424,0,0,0.5769066
2.102603,0,0,0.6714925
1.886102,0,0,0.6798494
1.497403,0,0,0.4848902
1.47045,0,0.3347396,0.2603803
1.22729,0,0.7704933,0.3040063
1.137792,0,0.737501,0.4121795
1.731425,0.06604624,0.6526954,0.3241908
2.366899,0.3636354,0.5619492,0.1319041
2.464945,0.8285441,0.3045093,0.4262961
2.266436,0.9992839,0.3262789,0.7625411
2.58322,1.423243,0.4710253,1.131554
2.950101,1.591848,0.8484911,1.290449
2.92913,1.425428,1.313259,1.208167
2.532306,1.380561,1.216805,1.061767
2.687293,1.270303,0.7220032,0.8395477
2.968082,1.077907,0.4454147,0.8338046
2.768815,0.9169372,0.3285229,0.7544299
2.212486,0.891608,0.1495238,0.6147324
2.353564,0.9804235,0.2321001,0.5029499
1.932786,0.5268247,0.0197532,0.5597174
1.655284,0.03469792,0,0.6382636
1.275879,0.09488937,0,0.8053769
0.8370245,0.01358833,0.2025383,1.071633
0.4195502,0.06983035,0.4506313,0.9662756
0.01169767,0.03967509,0.4847637,0.9158443
0.1203189,0.09293906,0.4222075,1.092881
0.7060708,0.4559302,0.5462285,1.001137
1.237307,0.8445507,0.7228972,0.7490821
1.589674,1.130604,0.7764371,0.608887
1.902398,1.27573,0.8559869,0.4682518
2.328119,0.8100303,0.7291845,0.3003247
2.812739,0.5468308,0.5689645,0.2393803
3.030213,0.2200173,0.4198999,0.2834725
2.596968,0.2949809,0.405546,0.4349307
2.311386,0.4697061,0.219223,0.3566771
1.940653,0.2614946,0.0300603,0.3076723
1.698121,0.4352964,0.103389,0.2728164
1.703066,0.6611986,0.2103319,0.1670435
1.474804,0.6878349,0.3161994,0.0521833
1.536014,0.6491981,0.2349672,0.03972907
0.6428159,0.6296936,0.269251,0.1443443
0.1414095,0.4959477,0.4053461,0.2782702
0.1015893,0.2340927,0.4126922,0.4884864
0.2103583,0.06639284,0.3454749,0.6653095
0.209232,0.08795352,0.3012915,0.8132576
0.2131496,0.009307249,0.160106,0.8929176
0.5658109,0.05937532,0.03904695,1.057742
0.8680237,0.4093993,0.142145,1.217993
1.391267,0.3283629,0.2584983,1.366846
1.949024,0.1150991,0.3912894,1.515971
2.529367,0.02054005,0.5770494,1.519844
2.872931,0.03696327,0.5838121,1.523307
2.032071,0.1698427,0.7121598,1.450833
2.350814,0.3934777,0.7805775,1.43178
2.534857,0.6148193,0.77109,1.430091
2.515508,0.8670843,1.014008,1.321426
2.540829,1.296488,1.348998,1.235632
2.761987,1.845921,1.558519,1.358092
3.140921,2.281862,1.788271,1.645236
3.513197,2.09976,1.906413,1.823382
3.64937,1.778255,2.044227,1.881447
3.616296,1.597817,2.219247,2.134364
3.443815,1.463249,2.20783,2.360066
3.100874,1.372574,2.297878,2.696765
2.77394,1.400529,2.586686,2.939123
2.763301,1.440879,2.994251,3.166392
3.123765,1.727764,3.548285,3.381786
2.844162,2.087106,4.033836,3.628341
3.472152,3.052907,4.353122,4.158262
4.349149,3.737747,4.878739,4.898403
5.364212,4.282238,5.423609,5.714978
6.440219,4.884195,6.471038,6.694099
7.459159,5.857712,7.341384,8.170756
8.524826,7.075504,8.567928,10.05025
10.79316,8.756907,10.18355,12.66573
13.31348,11.26156,12.97287,16.06385
16.36427,14.50759,16.78627,19.91882
20.37807,18.46616,21.39894,24.1927
25.35586,23.57388,26.88156,29.78909
31.25462,29.78328,33.39236,36.50131
39.64123,36.70696,41.13073,44.92177
48.585,46.29726,50.33789,55.08273
59.63229,57.95758,61.735,67.09749
72.94078,71.31417,74.5881,81.20213
88.21571,87.24807,90.58465,98.08236
105.8164,106.1393,108.806,117.3657
126.6731,127.7623,129.8752,137.9002
150.3969,153.0538,154.2983,161.9295
177.4954,183.7955,182.5461,188.7953
207.5279,219.3947,214.6066,217.1552
240.9003,259.3584,249.5363,247.9668
277.6993,306.751,287.4175,282.4846
317.7582,358.6455,332.3976,320.3752
360.6629,414.4166,378.1973,361.183
405.5515,470.5663,428.4278,404.4897
453.43,525.8616,481.1122,449.4776
502.3752,581.9879,533.1271,494.8415
551.1575,639.0325,585.2489,534.2187
600.1552,696.441,637.1905,574.329
648.4941,752.4957,686.1733,613.2906
692.9969,802.9736,729.5427,648.0594
732.7413,847.9253,766.5433,678.8464
767.9158,889.617,796.1215,707.2226
795.1213,920.3464,821.2359,732.1797
814.4103,944.5202,832.6115,750.9761
826.0691,955.0649,838.2031,765.8123
830.1584,952.9082,834.2618,770.5461
826.7141,941.3172,822.6219,765.9705
816.7651,919.6842,804.1604,751.8057
799.2359,887.8516,778.9692,732.6504
777.3428,846.1407,747.3929,707.8065
749.4381,795.3091,709.7112,677.2686
716.3683,739.4094,666.6289,642.1403
680.4359,679.4078,620.9321,603.5614
642.9885,617.2938,574.9388,564.1393
601.548,558.8189,526.2175,521.1063
558.5399,501.9702,478.5638,478.6427
516.6815,448.111,432.3935,434.3075
474.9435,397.6977,389.4604,391.7183
433.9602,350.936,348.8179,352.261
394.6932,308.7971,310.3062,316.0695
356.1744,271.0988,275.559,282.3065
319.1748,237.3822,243.7095,250.3899
283.5986,207.5788,213.3198,222.2007
250.9914,179.8673,188.1827,196.3218
221.6181,156.7159,166.432,173.4653
195.177,137.9187,146.4257,152.5306
171.3089,123.989,129.4209,133.4518
150.0374,111.4573,115.5152,116.8095
132.0761,100.8591,104.0379,102.5921
117.3685,91.86575,94.35546,90.68257
104.276,84.57053,86.21409,81.00817
93.00923,78.46922,79.54116,72.59849
83.7914,73.12216,74.11557,65.69443
76.30054,68.57597,69.64346,60.07566
69.64296,64.80991,66.2589,55.6115
64.13757,61.96052,63.21317,51.83508
59.57686,59.1512,60.39857,48.53594
55.59195,57.05948,57.92317,45.61802
52.09837,54.31686,55.57996,42.92834
49.03706,52.04712,53.3561,40.30869
46.46814,50.03605,51.32072,37.85748
44.80514,48.01815,49.49279,35.95525
42.51133,45.86948,47.83511,33.68551
40.77592,43.70518,45.98019,31.70529
39.13747,41.65727,44.30523,30.00094
37.35865,39.81404,42.59326,28.50913
35.25761,38.19986,40.409,27.2073
32.86985,36.20853,38.09367,25.98769
30.88051,34.63643,35.91633,24.65295
28.6673,33.13629,33.70624,23.15765
26.72012,31.67347,31.70077,21.83404
25.23061,30.45338,30.08905,20.63207
24.0973,29.02096,28.62386,19.47315
23.20973,27.55537,27.38076,18.16581
22.53953,26.33618,26.14294,17.056
22.0131,25.22268,25.26197,16.19039
21.68251,24.1863,24.44309,15.4461
21.08369,23.44382,23.48035,14.76546
20.1467,22.68682,22.74436,14.05838
18.94755,22.34863,22.353,13.30364
17.80779,22.24066,22.06732,12.56378
17.15009,22.59892,21.8898,11.87983
16.96193,23.35742,21.94243,11.38895
16.98878,24.22358,22.14771,10.67551
17.67026,25.11531,22.89095,9.817931
18.62548,26.11593,23.52885,9.096066
19.60486,27.11549,24.09263,8.591871
20.73819,28.06368,24.96169,8.27037
22.37259,29.00653,25.74632,7.995417
24.09107,29.90501,26.59437,7.718971
26.06144,30.85871,27.71816,7.440646
28.73896,31.58575,28.94893,7.278997
