"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r1_C_GRCm39"	92668	11937	24162	0
"01_Blood_r3_C_GRCm39"	76267	11906	22017	0
"01_Liver_r2_C_GRCm39"	75860	11895	18789	1
"01_scAT_r1_C_GRCm39"	100554	14094	28318	0
"02_BAT_r1_C_GRCm39"	84198	10615	16992	0
"02_Blood_r3_C_GRCm39"	62834	9810	15522	1
"02_Liver_r2_C_GRCm39"	51897	8604	13670	0
"02_scAT_r1_C_GRCm39"	83929	11747	20632	0
"03_BAT_r1_C_GRCm39"	62441	8375	15680	0
"03_Liver_r2_C_GRCm39"	60514	10132	17191	0
"04_BAT_r1_C_GRCm39"	42697	5446	11459	0
"04_Liver_r2_C_GRCm39"	65177	10881	16728	0
"05_BAT_r1_C_GRCm39"	19769	2706	5333	0
"05_Blood_r3_C_GRCm39"	57408	9222	14057	0
"05_Liver_r2_C_GRCm39"	69641	11805	16092	0
"05_scAT_r1_C_GRCm39"	115908	16184	27657	0
"06_BAT_r1_C_GRCm39"	55267	7086	13512	0
"06_Blood_r3_C_GRCm39"	23967	4018	6334	0
"06_Liver_r2_C_GRCm39"	60928	10654	12522	0
"06_scAT_r1_C_GRCm39"	79342	11429	21907	0
"07_BAT_r1_C_GRCm39"	45962	6277	13878	0
"07_Blood_r3_C_GRCm39"	61301	9641	15774	0
"07_Liver_r2_C_GRCm39"	71965	12597	16295	0
"07_scAT_r1_C_GRCm39"	94346	12821	20907	0
"08_BAT_r1_C_GRCm39"	38995	5325	9783	0
"08_Blood_r3_C_GRCm39"	41049	6485	11082	0
"08_Liver_r2_C_GRCm39"	22520	4146	4643	0
"08_scAT_r1_C_GRCm39"	36415	5099	10000	0
"09_BAT_r1_C_GRCm39"	40293	5276	9978	3
"10_BAT_r1_C_GRCm39"	57514	7426	11686	0
"11_BAT_r1_C_GRCm39"	42741	5499	10567	0
"11_BAT_r3_C_GRCm39"	23104	3122	5709	0
"12_BAT_r1_C_GRCm39"	38388	4901	7454	0
"12_BAT_r3_C_GRCm39"	58814	7945	12450	0
"13_BAT_r3_C_GRCm39"	52419	6784	12206	0
"13_Blood_r2_C_GRCm39"	36917	6896	10850	0
"13_scAT_r1_C_GRCm39"	103884	14244	28069	0
"14_BAT_r3_C_GRCm39"	22469	2843	4994	0
"14_Blood_r2_C_GRCm39"	56138	11211	14835	1
"14_scAT_r1_C_GRCm39"	58776	7988	14230	0
"15_BAT_r3_C_GRCm39"	68736	8861	14955	0
"15_Blood_r2_C_GRCm39"	87279	15688	24923	0
"15_Liver_r1_C_GRCm39"	18643	2367	4065	0
"15_scAT_r1_C_GRCm39"	108412	14487	25208	0
"16_BAT_r3_C_GRCm39"	70354	9388	15919	0
"16_Blood_r2_C_GRCm39"	32629	6136	8845	0
"16_Liver_r1_C_GRCm39"	40088	5146	7114	0
"16_scAT_r1_C_GRCm39"	167991	22720	42206	0
