"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r3_X_GRCm38"	50268	24926
"01_Blood_r2_X_GRCm38"	39374	18373
"01_Liver_r1_X_GRCm38"	10452	3754
"02_BAT_r3_X_GRCm38"	62869	30265
"02_Blood_r2_X_GRCm38"	59624	24946
"02_Liver_r1_X_GRCm38"	29729	11008
"03_BAT_r3_X_GRCm38"	35127	17238
"03_Blood_r2_X_GRCm38"	111437	45764
"03_Liver_r1_X_GRCm38"	25393	11145
"04_BAT_r3_X_GRCm38"	43505	21380
"04_Blood_r2_X_GRCm38"	99569	40962
"04_Liver_r1_X_GRCm38"	22792	8665
"05_BAT_r3_X_GRCm38"	9708	4334
"05_scAT_r3_X_GRCm38"	54548	23228
"06_BAT_r3_X_GRCm38"	25223	12377
"06_Blood_r2_X_GRCm38"	26352	10486
"06_scAT_r3_X_GRCm38"	91048	38567
"07_BAT_r3_X_GRCm38"	13215	7419
"07_Blood_r2_X_GRCm38"	11038	4319
"07_scAT_r3_X_GRCm38"	71708	30635
"08_BAT_r3_X_GRCm38"	27861	13620
"08_Blood_r2_X_GRCm38"	35190	13928
"08_Liver_r1_X_GRCm38"	23827	8918
"08_scAT_r3_X_GRCm38"	65649	26810
"09_BAT_r3_X_GRCm38"	36831	17272
"09_Blood_r2_X_GRCm38"	75211	32274
"09_Liver_r1_X_GRCm38"	44475	16662
"10_BAT_r3_X_GRCm38"	34413	17264
"10_Blood_r2_X_GRCm38"	51508	21794
"10_Liver_r1_X_GRCm38"	47405	17913
"11_Blood_r2_X_GRCm38"	99054	41827
"11_Liver_r1_X_GRCm38"	26480	10052
"12_Blood_r2_X_GRCm38"	60804	23537
"12_Liver_r1_X_GRCm38"	36836	14457
"12_scAT_r2_X_GRCm38"	35128	16510
"13_Liver_r1_X_GRCm38"	36624	14212
"13_scAT_r3_X_GRCm38"	33257	16482
"14_Liver_r1_X_GRCm38"	31892	11679
"14_Liver_r3_X_GRCm38"	54859	23850
"14_scAT_r3_X_GRCm38"	35219	14911
"15_Liver_r3_X_GRCm38"	11971	4748
"15_scAT_r3_X_GRCm38"	53685	22408
"16_Liver_r3_X_GRCm38"	21404	8850
"16_scAT_r3_X_GRCm38"	83917	35538
