"Position (bp)"	"La_01_C"	"La_02_C"	"La_03_C"	"La_04_C"
1	0.05	0.09	0.03	0.06
2	0.07	0.08	0.02	0.06
3	0.06	0.06	0.03	0.04
4	0.04	0.08	0.03	0.06
5	0.06	0.06	0.03	0.04
6	0.04	0.08	0.04	0.04
7	0.04	0.1	0.02	0.05
8	0.06	0.11	0.05	0.06
9	0.05	0.09	0.04	0.06
10	0.05	0.07	0.05	0.06
11	0.05	0.07	0.04	0.04
12	0.05	0.08	0.05	0.08
13	0.06	0.09	0.02	0.06
14	0.04	0.08	0.02	0.03
15	0.04	0.08	0.06	0.05
16	0.04	0.08	0.05	0.05
17	0.03	0.06	0.04	0.07
18	0.08	0.09	0.04	0.04
19	0.06	0.09	0.04	0.07
20	0.05	0.09	0.06	0.08
21	0.04	0.07	0.03	0.07
22	0.06	0.11	0.04	0.06
23	0.05	0.09	0.04	0.05
24	0.05	0.06	0.05	0.05
25	0.05	0.09	0.05	0.1
26	0.05	0.06	0.03	0.05
27	0.05	0.11	0.03	0.08
28	0.05	0.08	0.04	0.06
29	0.05	0.1	0.04	0.04
30	0.06	0.11	0.08	0.08
31	0.05	0.08	0.04	0.04
32	0.05	0.09	0.05	0.09
33	0.07	0.1	0.05	0.07
34	0.07	0.08	0.04	0.07
35	0.07	0.11	0.06	0.08
36	0.04	0.06	0.04	0.06
37	0.05	0.08	0.06	0.04
38	0.08	0.11	0.06	0.08
39	0.05	0.11	0.02	0.07
40	0.08	0.12	0.09	0.1
41	0.06	0.09	0.05	0.08
42	0.05	0.1	0.06	0.09
43	0.08	0.11	0.06	0.09
44	0.06	0.12	0.03	0.07
45	0.07	0.12	0.05	0.06
46	0.1	0.14	0.05	0.11
47	0.07	0.1	0.06	0.09
48	0.07	0.13	0.07	0.09
49	0.13	0.14	0.04	0.07
50	0.08	0.12	0.05	0.09
51	0.1	0.16	0.07	0.1
52	0.08	0.14	0.09	0.09
53	0.09	0.16	0.07	0.13
54	0.1	0.15	0.09	0.1
55	0.14	0.17	0.11	0.11
56	0.12	0.17	0.15	0.14
57	0.14	0.18	0.09	0.14
58	0.13	0.16	0.15	0.13
59	0.15	0.21	0.15	0.17
60	0.12	0.14	0.11	0.14
61	0.14	0.23	0.16	0.18
62	0.16	0.23	0.15	0.16
63	0.18	0.21	0.13	0.15
64	0.19	0.21	0.17	0.18
65	0.21	0.24	0.14	0.15
66	0.2	0.28	0.17	0.21
67	0.24	0.25	0.17	0.19
68	0.2	0.26	0.2	0.19
69	0.25	0.26	0.22	0.21
70	0.22	0.25	0.16	0.24
71	0.21	0.27	0.15	0.21
72	0.24	0.35	0.18	0.25
73	0.32	0.27	0.19	0.23
74	0.31	0.3	0.21	0.28
75	0.26	0.31	0.26	0.23
76	0.29	0.4	0.24	0.29
77	0.31	0.4	0.25	0.28
78	0.31	0.33	0.27	0.27
79	0.32	0.38	0.26	0.31
80	0.37	0.37	0.31	0.32
81	0.31	0.38	0.26	0.27
82	0.34	0.43	0.29	0.38
83	0.39	0.43	0.22	0.4
84	0.39	0.43	0.27	0.36
85	0.4	0.49	0.33	0.36
86	0.43	0.51	0.33	0.34
87	0.4	0.51	0.36	0.36
88	0.45	0.49	0.33	0.33
89	0.47	0.5	0.37	0.42
90	0.48	0.46	0.43	0.42
91	0.5	0.54	0.43	0.43
92	0.55	0.53	0.38	0.38
93	0.47	0.58	0.37	0.45
94	0.45	0.55	0.43	0.39
95	0.49	0.56	0.44	0.47
96	0.43	0.53	0.33	0.38
97	0.36	0.43	0.34	0.31
