"Position (bp)"	"01_BAT_r2_C_GRCm39"	"01_Blood_r1_C_GRCm39"	"02_Blood_r1_C_GRCm39"	"03_Blood_r1_C_GRCm39"	"03_Blood_r3_C_GRCm39"	"03_scAT_r1_C_GRCm39"	"04_Blood_r3_C_GRCm39"	"04_scAT_r1_C_GRCm39"	"05_BAT_r2_C_GRCm39"	"05_Blood_r1_C_GRCm39"	"05_Liver_r3_C_GRCm39"	"06_BAT_r2_C_GRCm39"	"06_Blood_r1_C_GRCm39"	"07_BAT_r2_C_GRCm39"	"07_Blood_r1_C_GRCm39"	"08_BAT_r2_C_GRCm39"	"08_Blood_r1_C_GRCm39"	"09_Blood_r3_C_GRCm39"	"09_Liver_r2_C_GRCm39"	"09_scAT_r1_C_GRCm39"	"10_Blood_r3_C_GRCm39"	"10_Liver_r2_C_GRCm39"	"10_scAT_r1_C_GRCm39"	"11_Blood_r3_C_GRCm39"	"11_Liver_r2_C_GRCm39"	"11_scAT_r1_C_GRCm39"	"12_Blood_r3_C_GRCm39"	"12_Liver_r2_C_GRCm39"	"12_scAT_r1_C_GRCm39"	"13_BAT_r1_C_GRCm39"	"13_Blood_r3_C_GRCm39"	"13_Liver_r2_C_GRCm39"	"13_scAT_r2_C_GRCm39"	"14_BAT_r1_C_GRCm39"	"14_Blood_r3_C_GRCm39"	"14_Liver_r2_C_GRCm39"	"14_scAT_r2_C_GRCm39"	"15_BAT_r1_C_GRCm39"	"15_Blood_r3_C_GRCm39"	"15_Liver_r2_C_GRCm39"	"15_scAT_r2_C_GRCm39"	"16_BAT_r1_C_GRCm39"	"16_Blood_r3_C_GRCm39"	"16_Liver_r2_C_GRCm39"
1	43.78	45.07	47.85	51.21	51.1	48.9	50.72	45.79	47.17	44.54	44.51	43.29	47.71	40.71	50.57	45.62	46.08	49.85	40.37	44.03	47.99	38.96	44.71	50.53	39.86	45.48	49.21	38.86	47.69	39.73	49.54	38.38	37.97	39.15	48.91	38.34	37.11	35.64	42.36	41.28	36.72	32.23	46.11	40.05
2	47.07	53.71	54.81	54.01	60.85	56.82	60.06	56.22	54.6	52.73	52.52	49.01	57.79	51.43	56.63	52.56	57.12	57.32	49.65	55.73	57.27	50.1	54.78	62.69	48.11	58.07	55.25	44.2	55.72	43.04	57.33	44.42	46.32	53.56	61.44	44.15	48.98	42.74	57.9	40.77	48.45	42.86	57.78	49.55
3	47.22	52.23	53.45	55.18	55.27	53.11	56.76	51.56	47.47	51.32	47.19	44.81	49.74	45.36	51.29	49.89	51.22	50.48	44	46.05	50.77	45.35	48.81	54.67	41.01	48.79	50.32	38.2	52.22	40.03	51.6	37.19	38.58	41.37	50.66	41.4	38.65	36.8	48.51	42.29	40.53	34.64	50.29	38.31
4	48.8	53.36	54.96	61.98	57.24	57.79	54.82	54.35	51.5	49.57	51.63	45.57	53.91	44.2	60	49.57	51.9	55.28	49.94	48.76	51.28	44.69	51.39	57.67	47.54	53.4	54.3	47.47	51.03	41.08	54.97	42.06	44.21	44.01	56.4	41.84	44.92	40.25	52.42	44.12	41.16	40.57	51.44	46.48
5	45.67	51.73	51.7	56.78	55.7	54.25	55.86	51.71	46.71	53.74	46.85	44.09	51.15	43.1	51.92	49.45	51.12	48.46	44.41	43.58	51.81	40.27	51.18	54.36	43.67	48.13	50.94	45.2	48.92	39.2	53.12	38.68	37.51	43.45	50	38.46	39.72	38.6	45.8	37.71	40.15	33.75	49.34	40.05
6	45.82	47.94	49.79	52.29	52.95	48.97	50.95	49.21	50.75	50.39	46.74	41.61	47.48	44.26	53.46	48.03	50.17	46.8	40.81	46.49	49.72	41.83	48.96	51.18	43.39	49.43	48.92	48.47	46	38.72	46.8	37.41	38.25	40.09	47.9	39.44	39.76	40.51	49.53	40.96	37.19	30.85	48.5	48.47
7	45.12	47.78	51.4	56.54	55.17	50.18	52.58	46.96	43.23	46.7	45.71	41.14	50.18	40.94	48.3	47.09	48.2	46.3	41.13	41.47	49.38	41.8	47.53	50.52	41.27	46.24	48.66	41.64	46.89	35.34	50.53	39.42	36.95	39.69	48.62	34.21	36.82	34.58	43.57	45.67	38.83	32.31	43.27	38.12
8	45.3	49.91	52.18	53.8	56.07	50.3	50.72	52.38	45.26	52.36	48.31	42.37	50.79	43.58	49.26	47.18	48.75	50	41.29	51.21	48.92	43.66	44.92	52.61	43.44	50.78	50.06	45.38	48.15	34.75	50.67	39.94	40.57	39.79	53.29	41.39	43.77	37.38	47.93	42.94	39.4	34.5	49.62	42.47
9	44.31	46.59	51.17	55.4	52.84	50.3	53.94	46.53	49.89	45.56	44.99	41.88	53.98	44.57	50.61	47.4	47.77	44.98	45.49	42.27	47.98	41.43	45.55	50.97	42.04	43.58	49.36	36.95	47.46	37.74	49.17	35.67	36.82	41.06	48.63	36.13	40.81	36.12	45.01	37.71	40.54	34.16	48.01	42.2
10	45.66	45.21	49.62	51.87	49.79	51.57	51.55	48.63	44.1	47.33	45.27	39.09	47.62	39.52	48.02	43.47	46.32	48.89	41.44	46.98	48.91	38.67	45.76	48.85	39.29	48.02	47.14	44.92	46.08	35.86	48.25	39.17	36.18	33.33	44.42	36.94	36.08	37.62	46.2	37.79	37.91	34.65	47.44	41.86
