"Position (bp)"	"01_BAT_r1_C_GRCm39"	"01_Blood_r3_C_GRCm39"	"01_Liver_r2_C_GRCm39"	"01_scAT_r1_C_GRCm39"	"02_BAT_r1_C_GRCm39"	"02_Blood_r3_C_GRCm39"	"02_Liver_r2_C_GRCm39"	"02_scAT_r1_C_GRCm39"	"03_BAT_r1_C_GRCm39"	"03_Liver_r2_C_GRCm39"	"04_BAT_r1_C_GRCm39"	"04_Liver_r2_C_GRCm39"	"05_BAT_r1_C_GRCm39"	"05_Blood_r3_C_GRCm39"	"05_Liver_r2_C_GRCm39"	"05_scAT_r1_C_GRCm39"	"06_BAT_r1_C_GRCm39"	"06_Blood_r3_C_GRCm39"	"06_Liver_r2_C_GRCm39"	"06_scAT_r1_C_GRCm39"	"07_BAT_r1_C_GRCm39"	"07_Blood_r3_C_GRCm39"	"07_Liver_r2_C_GRCm39"	"07_scAT_r1_C_GRCm39"	"08_BAT_r1_C_GRCm39"	"08_Blood_r3_C_GRCm39"	"08_Liver_r2_C_GRCm39"	"08_scAT_r1_C_GRCm39"	"09_BAT_r1_C_GRCm39"	"10_BAT_r1_C_GRCm39"	"11_BAT_r1_C_GRCm39"	"11_BAT_r3_C_GRCm39"	"12_BAT_r1_C_GRCm39"	"12_BAT_r3_C_GRCm39"	"13_BAT_r3_C_GRCm39"	"13_Blood_r2_C_GRCm39"	"13_scAT_r1_C_GRCm39"	"14_BAT_r3_C_GRCm39"	"14_Blood_r2_C_GRCm39"	"14_scAT_r1_C_GRCm39"	"15_BAT_r3_C_GRCm39"	"15_Blood_r2_C_GRCm39"	"15_Liver_r1_C_GRCm39"	"15_scAT_r1_C_GRCm39"	"16_BAT_r3_C_GRCm39"	"16_Blood_r2_C_GRCm39"	"16_Liver_r1_C_GRCm39"	"16_scAT_r1_C_GRCm39"
1	49.67	53.96	53.18	51.73	41.63	58.31	53.03	54.02	51.76	54.55	41.16	52.63	50	56.35	48.76	51.13	48.82	53.38	44.55	52.67	47.17	55.15	49.73	54.14	52.98	57.14	43.87	57.08	46.94	43.29	39.24	44.91	42.95	50	47.53	45.22	53.1	39.49	51.97	50.57	47.02	50.8	41.12	52.57	47.73	47.33	50.22	48.19
2	45.87	55.36	52.36	52.1	43.07	57.28	51.27	51.92	42.44	50.31	40.16	50.97	47.14	54.69	44.68	54.77	39.81	59.33	46.29	52.42	48.03	59.74	50	55.31	49.45	60.33	54	54.94	39.2	39.69	41.35	41.35	45.22	45.16	43.56	48.35	49.78	36.92	50.72	47.7	47.25	52.57	43.94	46.61	44.94	48.08	57.34	46.37
3	40.72	54.59	49.23	51.8	43.38	52.13	47.88	50.69	42.94	47.64	36.94	48.08	43.56	52.84	49.17	50.39	43.5	54.88	45.05	52.29	46.03	55.43	45.19	53.69	47.45	52.48	46.74	50.17	38.14	40.65	37.26	43.84	40.51	45.96	41.83	44.82	47.21	34.16	51.18	43.65	43.75	49.65	45.38	44.65	44.23	47.54	44.53	45.39
4	47.43	56.04	56.27	56.49	44.38	60.24	52.37	53.61	48.63	51.43	44.53	50.92	52.1	55.98	50.44	55.15	48.31	54.12	49.29	53.03	47.76	60.31	51.62	57.58	49.07	55.72	51.53	52.03	49.21	45.71	42.42	51.3	44.84	45.48	50.36	49.51	53.68	38.15	56.82	54.99	48.13	48.68	46.09	50.63	44.11	49.32	52.69	48.99
5	47.36	56.49	57.49	58.24	46.92	59.83	52.54	55.05	45.36	52.84	44.56	52.91	45.66	55.98	49.34	54.22	47.6	64.71	53.65	55.27	49.14	59.3	46.93	56.38	52.78	57.77	49.68	61.07	46.98	42.05	44.24	44.97	41.24	48.51	45.62	53.31	50	45.45	52.36	54.06	45.93	53.32	46.85	54.29	45.83	52.74	51.09	50.59
6	45.81	51.68	49.34	45.48	42.34	52.29	47.4	51.04	41.94	51.26	41.43	49.14	49.62	48.76	46.62	45.61	38.85	51.91	43.28	45.43	45.67	53.3	48.56	53.98	49.79	54.83	46.36	47.46	37.77	43.46	41.08	45.07	38.69	42.7	41.02	42.96	45.32	43.62	49.26	52.67	40.19	48.96	40.48	47.86	44.35	48.29	40.82	46.9
7	45.06	58.91	53.52	53.76	46.88	59.6	50.82	54.73	45.74	49.79	42.86	49.16	47.89	57.84	48.41	54.35	45.31	60.26	47.4	58.81	50.87	60.73	50.91	58.99	53.36	56.95	47.06	52.91	39.78	42.55	46.12	46.31	43.03	44.22	43.23	53.05	50.65	38.53	56.79	54.17	46.88	53.68	45.51	49.64	44.56	55.06	52.15	51.84
8	37.64	49.56	45.43	46.41	37.47	47.18	43.85	46.49	37.36	47.02	35.42	44.48	40	48.32	40.17	45.19	37.94	50.43	44.06	47.14	39.7	49.4	44.08	45.29	40.06	50.89	43.87	44.37	37.59	38.02	39.41	41.99	37.01	38.95	38.9	44.79	42.74	38.59	50.12	46.84	39.58	44.01	39.5	45.59	41.84	44.95	45.06	42.69
9	43.81	60.61	53.95	52.97	46.92	58.24	50.63	55.24	45.84	52.85	48.16	48.06	42.07	57.48	49.39	51.19	45.66	59.18	52.99	54.58	49.21	58.63	50.95	55.56	50.56	56.16	48.24	51.45	44.24	42.15	46.41	45.45	44.16	50.8	39.8	54.15	50	43.09	56.21	56.05	48.12	49.54	50	51.79	49.04	54.96	59.66	50.65
10	37.29	51.03	49.71	48.63	40.08	53.25	48.15	51.26	38.28	48.67	36.97	49.85	42.86	52.93	47.87	50.41	39.29	51.5	44.85	46.92	46.46	54.82	46.02	51.41	51.29	53.21	45.03	48.96	37.87	41.33	42.4	38.06	35.57	41.63	39.58	48.32	45.66	41.81	49.7	47.05	40.18	45.81	38.87	46.84	41.57	48.79	45.43	43.6
