"Position (bp)"	"01_Liver_r3_C_GRCm39"	"01_scAT_r2_C_GRCm39"	"02_BAT_r2_C_GRCm39"	"02_Liver_r3_C_GRCm39"	"02_scAT_r2_C_GRCm39"	"03_BAT_r2_C_GRCm39"	"03_Liver_r3_C_GRCm39"	"03_scAT_r2_C_GRCm39"	"04_BAT_r2_C_GRCm39"	"04_Blood_r1_C_GRCm39"	"04_Liver_r3_C_GRCm39"	"04_scAT_r2_C_GRCm39"	"05_Blood_r2_C_GRCm39"	"05_Liver_r1_C_GRCm39"	"05_scAT_r2_C_GRCm39"	"06_Liver_r1_C_GRCm39"	"06_Liver_r3_C_GRCm39"	"06_scAT_r2_C_GRCm39"	"07_Liver_r1_C_GRCm39"	"07_Liver_r3_C_GRCm39"	"07_scAT_r2_C_GRCm39"	"08_Liver_r3_C_GRCm39"	"08_scAT_r2_C_GRCm39"	"09_BAT_r2_C_GRCm39"	"09_Blood_r1_C_GRCm39"	"09_Liver_r3_C_GRCm39"	"09_scAT_r2_C_GRCm39"	"10_BAT_r2_C_GRCm39"	"10_Blood_r1_C_GRCm39"	"10_Liver_r3_C_GRCm39"	"10_scAT_r2_C_GRCm39"	"11_BAT_r2_C_GRCm39"	"11_Blood_r1_C_GRCm39"	"11_Liver_r3_C_GRCm39"	"11_scAT_r2_C_GRCm39"	"12_BAT_r2_C_GRCm39"	"12_Blood_r1_C_GRCm39"	"12_Liver_r3_C_GRCm39"	"13_BAT_r2_C_GRCm39"	"13_Blood_r1_C_GRCm39"	"13_Liver_r3_C_GRCm39"	"14_BAT_r2_C_GRCm39"	"14_Blood_r1_C_GRCm39"	"15_BAT_r2_C_GRCm39"	"15_Blood_r1_C_GRCm39"	"16_BAT_r2_C_GRCm39"	"16_Blood_r1_C_GRCm39"	"16_scAT_r2_C_GRCm39"
1	53.73	44.57	46.27	52.55	51.68	47.29	51.42	46.22	51.36	56.6	53.07	52.92	57.62	49.78	51.01	46.33	55.88	50.3	46.04	55.59	51.4	53.71	48.83	44.97	51.53	49.21	46.19	50.82	56.98	46.71	47.64	47	54.44	53.78	46.59	51.2	59.03	49.47	45.17	55.56	45.21	50.93	52.85	43.29	48.55	47.37	54.08	42.09
2	53.38	48.56	47.79	50.6	49.74	49.73	50.96	50.11	46.99	60.77	51.51	47.23	57.96	46.26	45.51	53.64	48.93	49.8	45.07	46.67	50.67	47.99	48.68	45.71	50.23	50	44.05	44.84	46.93	48.99	47.05	45.77	52.73	51.74	45.86	47.1	58.29	49.24	49.34	51.48	42.14	40.57	54.82	46.75	52.92	43.48	51.84	45.2
3	51.33	49.71	45.6	49.8	46.47	41.57	50.72	47.28	41.98	57.73	47.78	45.68	59.14	48.36	37.79	43.08	44.41	45.15	43.2	50.7	50	46.25	46.15	42.47	47.62	46.34	44.99	44.86	55.67	47.44	46.4	41.92	55.32	43.87	43.19	45.29	52.84	46.85	44.55	49.41	43.11	45.19	48.09	46.31	50.1	44.06	44.92	42.57
4	56.09	52.38	51.38	54.41	51.54	50	48.65	46.7	52.65	62.06	51.15	56.61	56.45	46.38	51.5	45.56	57.63	47.59	51.78	52.37	54.13	52.08	50.95	47.96	50.62	49.06	51	49.48	48.42	50.16	44.6	46.44	57.81	53.86	46.54	47.51	56.65	51.5	47.87	56.88	45	54.46	49.38	46.93	54	45.85	49.8	44.19
5	56.01	51.64	50.1	54.73	57.03	47.42	51.31	54.03	49.31	58.84	53.41	56.92	58.72	52.4	51.98	47.95	50	50.35	48.62	50.98	54.65	53.08	51.36	52.29	48.8	50	51.68	49.23	54.27	50.71	48.34	50.95	60.24	54.98	49.58	50	56.63	54.45	47.06	49.55	45.24	51.69	53.73	44.04	52.01	49.03	49.62	45.47
6	51.26	47.24	39.74	45.86	45.83	46.94	44.83	39.71	47.03	54.33	47.24	50	55.68	50.85	40.62	48.1	49.6	44.75	44.34	42.71	49.51	45.43	47.12	41.31	44.53	48.45	43.82	42.7	47.83	42.19	43.6	41.18	49.5	45.67	41.34	44.19	54.68	47.38	41.77	52.38	39.76	46.88	44.92	51.6	51.55	39.07	43.81	43.38
7	55.66	45.02	48.16	51.22	49.76	46.7	50.59	50.42	49.85	62.15	53.44	53.79	63.03	52.12	53.12	46.76	51.68	51.35	49.62	50.48	51.71	48.17	49.68	47.57	53.31	49.8	50.42	45.34	52.63	48.89	48.85	49.55	58.84	54.63	46.78	46.53	59.41	52.47	46.68	56.1	49.62	48.34	54.37	46.7	52.51	47.49	52.11	48.96
8	46.67	38.34	42.29	43.3	43.98	37.24	46.24	42.56	40.27	49.43	43.95	46.51	52.6	46.03	42.87	39.96	43.76	42.65	39.77	41.82	45.08	40.98	42.53	42.57	46.85	44.05	40.83	40.88	46.82	42.51	46.14	40.95	46.54	42.29	41.71	42.86	47.31	43.07	39.8	43.58	37.39	41.95	46.41	38.76	45.35	40.66	44.88	38.83
9	48.7	51.82	49.44	54.26	53.08	48.82	48.02	50.99	47.6	53.06	52.73	55.34	56.35	54.98	50	49.44	57.02	46.86	50.64	52.1	52.71	49.12	57.16	48.59	54.38	46.4	50.27	54.44	50.9	52	49.8	44.37	54.95	58.86	50.35	46.49	57.12	52.14	48.24	50.86	41.49	43.07	58.89	55.29	53.64	43.34	51.06	48.25
10	50.9	47.01	46.83	46.24	48.11	44.39	48.05	46.5	41.26	53.85	47.5	48.53	59.84	47.84	45.15	43.55	45.05	44.98	45.55	43.36	48.2	45.25	43.1	41.58	46.15	44.26	43.96	45.6	50.26	44.71	44.71	43.61	51.43	50.51	44.18	45.13	53.62	44.93	43.78	49.77	40.13	46.39	48.71	42.03	47.7	41.81	43.37	38.84
11	51.28	47.72	43.8	50.12	55.66	47.39	50.31	49.44	42.4	58	49.58	49.32	54.52	49.35	48.4	46.65	49.74	43.51	52.16	47.44	49.94	51.46	50.06	45.39	50.62	47.26	47.23	47.64	53.79	53.93	47.45	46.48	55.71	52.85	46.81	46.29	54.12	51.15	45.25	56.68	42.73	47.37	48.09	47.7	52.26	46.01	52.76	38.13
12	51.25	44.51	44.72	47.91	49.39	43.96	43.99	42.66	40.56	51.49	44.89	45.09	57.83	45.36	41.69	44.51	46.98	41.66	44.25	45.83	45.04	41.1	41.53	41.78	50.8	43.31	42.2	43.39	51.97	43.63	42.21	43.32	48.02	47.87	42.06	43.77	48.09	48.96	42.14	46.07	42.58	39.12	44.38	43.77	46.87	38.24	47.69	39.73
13	49.34	44.95	40.03	45.01	46.34	47.11	47.84	42.88	41.71	51.85	47.36	47.21	53.2	48.09	42.53	44.01	44.88	41.16	43.45	43.83	43.75	44.2	42.92	41.55	46.88	44.9	40.55	45.43	47.89	42.58	40.98	41.94	51.05	49.63	38.91	45.26	46.74	47.31	45.08	45.3	43.36	39.16	44.76	47.32	41.97	41.24	44.95	38.58
