"Position (bp)"	"01_BAT_r3_C_GRCm39"	"01_Blood_r2_C_GRCm39"	"01_Liver_r1_C_GRCm39"	"02_BAT_r3_C_GRCm39"	"02_Blood_r2_C_GRCm39"	"02_Liver_r1_C_GRCm39"	"03_BAT_r3_C_GRCm39"	"03_Blood_r2_C_GRCm39"	"03_Liver_r1_C_GRCm39"	"04_BAT_r3_C_GRCm39"	"04_Blood_r2_C_GRCm39"	"04_Liver_r1_C_GRCm39"	"05_BAT_r3_C_GRCm39"	"05_scAT_r3_C_GRCm39"	"06_BAT_r3_C_GRCm39"	"06_Blood_r2_C_GRCm39"	"06_scAT_r3_C_GRCm39"	"07_BAT_r3_C_GRCm39"	"07_Blood_r2_C_GRCm39"	"07_scAT_r3_C_GRCm39"	"08_BAT_r3_C_GRCm39"	"08_Blood_r2_C_GRCm39"	"08_Liver_r1_C_GRCm39"	"08_scAT_r3_C_GRCm39"	"09_BAT_r3_C_GRCm39"	"09_Blood_r2_C_GRCm39"	"09_Liver_r1_C_GRCm39"	"10_BAT_r3_C_GRCm39"	"10_Blood_r2_C_GRCm39"	"10_Liver_r1_C_GRCm39"	"11_Blood_r2_C_GRCm39"	"11_Liver_r1_C_GRCm39"	"12_Blood_r2_C_GRCm39"	"12_Liver_r1_C_GRCm39"	"12_scAT_r2_C_GRCm39"	"13_Liver_r1_C_GRCm39"	"13_scAT_r3_C_GRCm39"	"14_Liver_r1_C_GRCm39"	"14_Liver_r3_C_GRCm39"	"14_scAT_r3_C_GRCm39"	"15_Liver_r3_C_GRCm39"	"15_scAT_r3_C_GRCm39"	"16_Liver_r3_C_GRCm39"	"16_scAT_r3_C_GRCm39"
1	44.67	53.39	58.33	47.25	54.08	50	45.86	58.33	48.5	48.95	57.79	47.43	46.36	51.29	39.71	56.73	49.55	43.48	59.74	51.21	55.12	53.17	43.09	47.72	47.53	57.12	46.91	47	52.5	55.21	58.67	50	55.46	52.06	48.65	42.04	45.1	44.94	45.43	41.13	42.61	42.89	49.58	45.76
2	42.65	54.71	49.57	42.19	60.61	51.49	42.93	58.49	46.44	40.12	60.62	52.91	45.52	47.74	42.14	54.58	49.23	39.04	63.64	51.11	49.17	55.29	43.98	45.75	38.51	56.33	53.66	41.58	56.4	52.62	54.56	47.88	54.53	47.54	46.27	47.92	40.43	44.62	43.07	46.15	42	42.89	44.71	45.34
3	39.67	51.23	47.06	42.31	54.21	44.79	45.15	58.11	42.11	39.39	59.01	45.98	47.22	45.91	42.79	55.92	49.45	39.67	68.22	50.83	49.55	55.56	47.34	43.97	41.61	53.79	48.58	42.48	53.89	45.15	56.43	41.48	58.44	46.26	47.44	46.18	42.91	41.85	40.11	45.4	41.6	43.67	36.98	42.21
4	45.19	58.45	49.47	47.85	58.35	58.33	45.76	59.49	45.12	45.65	61.07	50	44.35	47.45	45.37	54.71	51.17	40.74	60.92	54.55	46.69	57.87	47.7	48.49	46.48	54.51	53.19	45.24	57.58	52.17	55.84	44.9	56.21	52.9	50.55	50	44.21	45.87	44.47	44.67	46.09	45.17	50.62	44.64
5	45.22	53.96	50.56	44.89	61.35	50.56	46.02	62.97	51.14	45.78	59.36	51.98	38.94	51.97	43.4	60.82	49.86	43.3	59.77	52.99	50.57	62.84	47.56	49.72	44.36	57.19	49.72	46.31	53.93	48.84	58.92	50.86	62.31	50.76	48.42	49.59	50.18	51.59	43.22	47.24	52.46	47.1	43.31	49.01
6	34.18	47	37.66	38.02	57.75	44.87	37.22	59.29	37.75	42.21	53.24	41.67	47.92	43.58	45.92	48.12	45.79	33.67	53.01	48.41	48.36	56.78	47.4	39.6	37.86	52.19	43.91	35.88	54.71	50.33	54.59	38.92	58.02	43.33	43.61	35.89	40.08	39.06	38.67	45.11	36.36	40.28	42.57	41.78
7	45.47	52.97	56.9	43.64	61.49	52.84	43.24	62.99	51.85	47.47	62	56.13	50.97	49.64	46.06	52.05	50.57	41.1	51.85	53.28	52.07	59.64	45.58	46.51	45.67	56.55	49.55	48.3	57.33	51.05	58.26	49.78	56.17	45.99	50.72	42.99	43.7	47.08	45.85	46.91	48.84	46.91	46.88	46.56
8	37.87	47.77	50	38	50.1	44.86	38.68	53.02	41.3	38.97	49.33	41.09	44.54	43.7	35.6	54.9	41.94	38.64	51.47	44.67	43.55	49.33	39.22	41.52	34.49	45.16	41.13	38.63	51.87	44.03	52.4	43.72	50.74	44.11	42.33	40.97	36.43	37.16	38.75	39.64	36.75	38.21	38.46	36.77
9	47.86	60	48.28	47.23	55.86	54.79	44.33	59.04	54.5	44.26	57.25	50.7	56.03	52.69	48.95	62.09	50.13	49.58	61.63	54.86	49.03	54.77	49.74	47.72	48.78	58.28	46.8	45.03	55.28	53.35	59.26	57.07	54.82	52.88	51.09	50.75	51.84	49.23	44.22	52.63	47.2	45.41	43.24	49.45
10	39.15	51.57	51.87	41.78	53.98	53.17	41.22	56.49	45.17	41.99	55.29	43.16	39.15	45.65	41.67	48.28	45.46	43.44	54.7	48.33	43.29	57.48	41.79	42.29	36.8	50.56	42.96	44.38	50.73	48.51	55.22	42.78	51.55	45.92	44.06	44.56	41.08	36.98	37.27	41.84	38.25	44.01	49.56	38.36
11	40.95	57.54	51.35	44.42	54.72	49.79	45.11	58.21	55.42	43.6	59.25	53.57	44.14	48.92	49.54	54.77	47.65	41.57	51.56	51.92	49.88	59.73	45.54	46.06	39.62	51.05	46.65	47.34	56.9	49.69	57.14	47.86	54.73	49.86	47.75	47.75	43.72	43.08	41.96	48.38	44.38	46.2	47.5	44.82
12	38.9	56.03	45.35	40.3	54.95	43.95	40.35	58.08	43.94	40.77	53.78	40.46	38.53	42.07	36.6	50.71	45.72	42.6	52.45	50.45	41.1	57.57	46.89	41.91	33.71	49.71	45.76	39.14	53.32	46.12	53.58	45.83	51.76	46.77	42.82	38.86	38.07	35.35	38.69	39.32	38.81	38.84	46.18	38.88
13	42.61	53.32	45.28	39.96	52.72	44.4	40.39	55.34	40.47	38.9	54.26	46.69	44.85	46.24	38.85	54.95	47.72	34.48	48.92	47.94	43.5	56.17	36.9	42.37	41.68	48.76	46.36	39.84	47.88	46.21	53.19	45.97	51.3	46.44	44.55	43.44	38.88	35.85	39.83	43.58	47.19	44.58	40.35	40.52
14	39.9	45.18	52.17	39.2	54.55	45.54	36.12	53.68	49.64	41.17	49.23	44.11	37.72	45.33	36.93	55.52	40.42	32.35	51.33	46.05	42.89	50.3	46.18	42.54	38.26	49.72	45.34	36.53	50.89	45.6	49.82	42.91	51.6	44.64	41.22	36.72	38.96	41.77	37.77	40.09	33.33	36.95	43.63	36.35
15	44.29	50.13	46.31	41	52.34	48.41	40.99	56.04	52.06	39.34	57.37	45.3	49.09	50.58	42.49	56.64	48.81	42.5	44	47.74	48.63	54.55	42.98	40.8	41.32	56.3	47.3	41.97	56.75	45.75	60.18	44.37	53.57	45.34	45.47	41.47	42.93	40.64	42.28	46.78	37.57	45.73	38.05	43.72
16	40.27	49.57	49.71	37.72	52.04	44.72	40.67	53.33	44.8	41.35	54.91	46.18	43.56	45.5	33.14	56.16	43.22	41.38	52.67	48.54	48.31	53.03	46.88	40.64	38.11	48.12	42.54	42.74	48.29	43.26	53.33	41.1	51.34	45.48	41.87	40.41	39.76	37.27	40.63	41.56	39.63	38.9	37.95	39.24
17	33.38	49.87	50	36.3	49.57	42.41	36.21	50.66	49.14	37.14	52.61	40.58	44.67	43.66	34.34	55.32	41.8	41.57	56.49	48.01	42.03	53.72	41.43	39.29	33.68	51.4	44.2	39.07	48.12	42.34	48.58	38.81	48.63	39.35	41.76	34.11	37.5	35.96	37.41	39.6	34.52	37.02	43.68	39.04
18	38.42	54.97	48.67	39.64	50.67	43.26	38.58	53.71	44.88	39.68	50.18	47.2	40.51	42.23	36.86	54.29	43.2	37.91	52.14	50.32	42.36	52.16	38.11	41.61	36.19	49.77	40.78	35.68	51.45	43.77	50.96	38.51	49.69	44.36	38.46	35.31	37.44	37.35	40.61	39.46	39.9	40.07	48.02	38.75
19	42.66	52.78	57.03	39.03	55.52	49.8	42.56	57.94	39.42	39.49	54.74	39.34	48.65	45.85	37.46	55.06	41.98	30.41	55.48	48.32	41.2	56.29	43.03	43.8	36.93	52.28	45.14	42.62	49.07	44.18	53.88	42.24	53.45	46.15	43.64	36.28	33.85	38.26	39.75	40.53	34.54	37.52	47.4	41.34
20	39.7	53.22	48.43	40.95	54.69	49.09	40.53	57.08	45.74	40.93	54.43	42.72	40.8	47.58	40.99	52.82	44.75	36.53	50.67	50.34	44.99	59.35	42.66	45.93	40.66	52.22	47.22	40.18	53.81	48.09	54.49	46.64	56.15	48.95	46.92	40.78	43.18	41.3	37.82	40.6	38.66	42.88	50.26	41.81
21	37.07	46.33	39.74	35.67	54.44	42.7	37.14	54.23	42.58	37.25	53.78	45.8	41.38	46.53	39.63	51.82	42.91	36.97	45.86	46.53	45.61	54.46	45	43.15	37.15	47.76	44.76	40.52	49.33	45.04	51.13	40.58	53.78	44.56	43.05	42.4	41.01	36	39.75	37.44	32.51	36.07	41.07	38.5
22	44.7	54.89	49.03	41.34	53.89	51.03	43.77	57.87	46.18	46.54	57.41	47.74	39.89	50	40.11	51.37	46.13	38.1	53.59	48.46	50	60.62	41.42	43.86	41	52.08	45.44	39.18	55.85	51.74	57.2	49.85	55.43	47.66	47.13	45.77	39.95	41.3	42.04	45.98	38.51	43.06	38.29	44.42
23	35.83	53.63	52.89	37.2	52.58	40	38.87	54.67	45.41	38.32	50.79	44.31	35.71	41.3	40.18	47.37	40.9	37.35	42.48	43.38	42.38	54.26	41.36	39.03	34.17	53.08	44.4	35.28	48.4	44.4	53.44	41.73	52.6	42.82	40.84	36.97	37.9	35.05	35.02	38.76	38.6	37.35	39.13	38.82
24	39.7	50.49	46.15	40.71	54.07	48.91	39.36	58.06	41.22	41.53	55.78	47.45	48.61	44.74	46.26	58.48	45	47.43	56	45.86	42.76	54.64	47.45	41.94	39.19	52.74	48.22	42.44	57.64	45.6	53.64	43.66	53.8	45.94	45.25	36.27	42.26	41.07	41.78	42.6	39.44	39.61	47.87	42.13
25	42.71	54.32	45.7	45.39	55.29	48.96	46.97	58.1	51.12	44.25	56.1	44.12	54.97	49.86	43.65	62.02	47.19	43.43	46.61	51.82	49.57	62.35	45.62	46.83	44.26	52.82	44.4	44.25	53.94	45.49	55.22	52.24	54.19	48.44	50.74	42.64	40.95	43.75	39.13	46	43.35	41.68	41.49	43.93
26	39.11	52.88	53.69	42.77	54.73	42.6	39.53	54.56	41.84	41.67	54.39	41.61	43.27	44.61	39.84	55.76	47.43	42.6	45.59	50.06	43.34	57.06	44.21	44.51	40.83	50.06	44.49	40.16	54.58	45.88	54.69	46.2	54.8	43.46	41.37	38.86	40.91	36.41	40.9	43.47	36.63	41.51	39.89	41.9
27	41.86	51.02	42.86	42.73	55.1	47.42	44.92	58.29	46.43	46.11	56.16	44.03	46.41	51.07	45.22	58.65	46.13	46.33	59.31	51.49	47.36	52.86	46.86	48.26	41.89	55.64	50.31	44	52.5	46.93	56.61	46.15	53.21	49.88	50.93	43.54	48.16	43.73	42.05	49.06	40.66	48.53	47.73	42.38
28	39.22	52.27	43.84	40.11	51.24	50.19	40.12	52.45	43.46	42.88	54.5	44.22	40.41	46.76	36.1	48.83	43.87	36.36	47.95	48.22	43.35	51.31	39.82	43.03	37.73	51.22	43.31	38.06	46.63	45.92	51.09	45.8	49.2	44.87	45.04	38.26	37.36	35.68	38.56	35.82	41.45	41.35	40.22	38.06
29	37.91	48.18	47.1	38.52	56.3	45	38.65	53.74	44.2	42.65	53.07	46.34	48.65	45.21	44.93	53.02	45.62	42.44	51.22	49.67	44.52	53.33	44.44	43.76	39.01	51.44	43.59	40.61	49.3	50.39	51.38	50	52.51	43.3	42.21	37.82	43.36	39.31	38.41	43.22	38.46	41.46	48.39	42.08
30	38.03	50	46.91	38.25	50.87	50.19	41.85	55.64	44.13	40.78	52.33	37.16	39.87	43.32	40.99	48	40.44	39.1	49.18	47.6	41.39	55.42	43.95	42.82	39.07	47.68	45.33	39.43	51.79	42.2	53.06	46.21	50.57	43.29	44.6	41.11	38.29	38.66	35.22	37.87	36.62	42.93	41.62	37.43
31	36.9	48.74	47.33	38.07	55.29	45.52	36.83	52.86	51.3	38.89	52.72	46.44	37.5	44.75	42.12	54.37	41.94	33.07	47.86	46.57	39.29	51.83	41.18	38.18	39.29	50.79	43.64	39.86	51.13	42.39	51.25	46.62	50.57	44.82	44.38	41.95	37.05	39.05	35.44	39.13	43.21	39.59	41.94	39.8
