"Category"	"Mus_musculus"	"Rattus_norvegicus"	"Danio_rerio"	"Homo_sapiens"	"Macaca_mulatta"	"Sus_scrofa"	"Bos_taurus"	"Caenorhabditis_elegans"	"Equus_caballus"	"Drosophila_melanogaster"	"Saccharomyces_cerevisiae"	"Schizosaccharomyces_pombe"	"Arabidopsis_thaliana"	"Vectors"	"Escherichia_coli_K_12_MG1655"	"Multiple Genomes"	"No hits"
"01_BAT_r2_C_1_val_1_screen"	61384	17	5	4	1	1	1	0	0	0	1	0	1	0	0	31651	2720
"01_Blood_r1_C_1_val_1_screen"	67387	10	4	0	0	1	0	1	0	0	1	0	0	0	0	37265	3004
"02_Blood_r1_C_1_val_1_screen"	59857	23	2	1	0	2	0	1	1	0	1	0	0	0	0	31568	2886
"03_Blood_r1_C_1_val_1_screen"	48213	14	6	3	1	3	0	1	0	0	1	0	0	0	0	25005	2164
"03_Blood_r3_C_1_val_1_screen"	69474	14	6	0	1	0	0	0	0	1	0	0	0	0	0	38774	3164
"03_scAT_r1_C_1_val_1_screen"	69866	27	8	1	3	2	1	1	0	0	0	0	0	0	0	36526	2852
"04_Blood_r3_C_1_val_1_screen"	75735	17	4	3	3	0	1	1	1	1	0	0	0	0	0	40577	3548
"04_scAT_r1_C_1_val_1_screen"	96554	31	6	1	4	2	0	0	0	1	0	1	0	0	0	49715	4245
"05_BAT_r2_C_1_val_1_screen"	39030	9	3	0	1	1	0	0	1	1	0	0	0	0	0	20759	1602
"05_Blood_r1_C_1_val_1_screen"	28201	10	0	2	0	2	1	0	0	0	0	0	0	0	0	14749	1192
"05_Liver_r3_C_1_val_1_screen"	60350	9	2	2	4	1	2	1	1	2	0	0	0	0	0	34099	2651
"06_BAT_r2_C_1_val_1_screen"	58073	15	5	5	1	1	0	0	1	1	2	0	0	0	0	30583	2395
"06_Blood_r1_C_1_val_1_screen"	48610	8	1	0	1	0	2	0	0	0	1	0	0	0	0	25700	2314
"07_BAT_r2_C_1_val_1_screen"	91464	28	5	2	3	1	1	2	1	0	1	0	0	0	1	49557	4078
"07_Blood_r1_C_1_val_1_screen"	28844	6	4	0	1	0	0	1	1	1	1	0	0	0	0	15244	1214
"08_BAT_r2_C_1_val_1_screen"	86412	16	2	1	3	1	0	1	1	0	0	0	0	0	0	44528	3800
"08_Blood_r1_C_1_val_1_screen"	55876	11	10	0	0	0	2	2	1	0	0	0	0	0	0	29584	2534
"09_Blood_r3_C_1_val_1_screen"	15911	4	1	1	0	0	0	0	0	0	0	0	0	0	0	8197	923
"09_Liver_r2_C_1_val_1_screen"	57565	12	2	1	1	2	0	0	0	0	0	0	0	0	0	36818	2749
"09_scAT_r1_C_1_val_1_screen"	44221	11	1	2	0	1	0	0	0	0	0	0	0	0	0	21046	2248
"10_Blood_r3_C_1_val_1_screen"	62958	18	4	1	0	1	0	0	0	0	0	0	0	0	0	33823	3004
"10_Liver_r2_C_1_val_1_screen"	46056	10	2	0	0	1	0	0	0	1	0	0	0	0	0	30558	2077
"10_scAT_r1_C_1_val_1_screen"	78428	18	0	0	2	0	2	1	0	0	0	1	0	0	0	39402	3569
"11_Blood_r3_C_1_val_1_screen"	40117	8	1	4	2	0	1	0	0	0	1	1	0	0	0	21464	1774
