"Category"	"Mus_musculus"	"Rattus_norvegicus"	"Danio_rerio"	"Homo_sapiens"	"Macaca_mulatta"	"Sus_scrofa"	"Caenorhabditis_elegans"	"Bos_taurus"	"Equus_caballus"	"Saccharomyces_cerevisiae"	"Drosophila_melanogaster"	"Arabidopsis_thaliana"	"Schizosaccharomyces_pombe"	"Escherichia_coli_K_12_MG1655"	"Vectors"	"Multiple Genomes"	"No hits"
"01_Liver_r3_C_1_val_1_screen"	86888	29	6	0	0	0	0	2	1	1	0	1	0	0	0	51094	3640
"01_scAT_r2_C_1_val_1_screen"	33365	12	1	2	0	1	0	0	0	0	0	0	0	0	0	20764	1634
"02_BAT_r2_C_1_val_1_screen"	66675	13	4	2	1	1	1	0	0	0	3	0	0	0	0	35648	2818
"02_Liver_r3_C_1_val_1_screen"	76980	32	2	6	3	1	1	0	0	0	0	0	0	0	0	44008	3486
"02_scAT_r2_C_1_val_1_screen"	53198	21	4	0	2	3	1	1	1	1	0	0	2	0	0	32519	2679
"03_BAT_r2_C_1_val_1_screen"	39624	10	4	1	3	0	4	2	0	0	0	0	0	0	0	21707	1917
"03_Liver_r3_C_1_val_1_screen"	37901	11	1	1	1	0	1	0	0	2	0	0	0	0	0	22104	1741
"03_scAT_r2_C_1_val_1_screen"	37247	7	4	1	0	1	0	0	0	0	0	0	1	0	0	23692	1859
"04_BAT_r2_C_1_val_1_screen"	58559	18	5	1	2	1	3	1	1	0	0	1	0	0	0	31843	2442
"04_Blood_r1_C_1_val_1_screen"	34786	13	2	0	0	0	1	0	2	1	0	0	0	0	0	18192	1493
"04_Liver_r3_C_1_val_1_screen"	67789	17	5	4	0	2	0	0	0	0	0	0	0	0	0	38737	3272
"04_scAT_r2_C_1_val_1_screen"	33500	11	2	2	0	1	1	0	0	0	0	0	0	0	0	21403	1622
"05_Blood_r2_C_1_val_1_screen"	43870	13	2	0	3	0	2	0	0	0	0	0	0	0	0	21008	1938
"05_Liver_r1_C_1_val_1_screen"	24121	12	2	0	0	0	0	0	1	0	0	0	0	0	0	13326	1075
"05_scAT_r2_C_1_val_1_screen"	43942	11	3	2	0	2	3	2	1	1	0	0	1	0	0	27054	2302
"06_Liver_r1_C_1_val_1_screen"	26552	2	3	0	1	0	0	0	0	0	0	1	0	0	0	14855	1171
"06_Liver_r3_C_1_val_1_screen"	52419	14	5	0	1	1	2	1	1	0	0	0	0	0	0	30737	2229
"06_scAT_r2_C_1_val_1_screen"	60362	20	1	1	0	2	1	0	1	2	2	1	0	0	0	37064	2828
"07_Liver_r1_C_1_val_1_screen"	32537	9	4	1	1	1	1	0	0	0	0	0	0	0	0	18195	1483
"07_Liver_r3_C_1_val_1_screen"	39959	15	4	0	1	1	0	1	0	0	0	0	0	0	0	23767	2032
"07_scAT_r2_C_1_val_1_screen"	63119	29	7	2	2	0	0	1	0	0	0	0	0	0	0	39872	2924
"08_Liver_r3_C_1_val_1_screen"	60719	21	3	0	0	0	2	0	1	0	0	1	0	0	0	35498	2823
"08_scAT_r2_C_1_val_1_screen"	69624	17	2	2	2	3	0	0	1	0	1	0	0	0	0	43697	3349
"09_BAT_r2_C_1_val_1_screen"	65762	19	3	2	1	0	0	2	0	1	0	1	0	0	0	35156	2811
"09_Blood_r1_C_1_val_1_screen"	34724	7	1	0	0	1	2	1	0	0	0	0	0	0	0	18716	1630
"09_Liver_r3_C_1_val_1_screen"	40614	5	4	0	1	3	2	0	0	1	0	1	0	0	0	24535	1835
"09_scAT_r2_C_1_val_1_screen"	68635	39	3	3	0	1	1	0	0	0	0	1	0	0	0	43123	3268
"10_BAT_r2_C_1_val_1_screen"	55714	14	3	0	3	1	1	0	1	0	0	0	1	0	0	29648	2405
