"Position (bp)"	"01_BAT_r1_C_1 - nextera_transposase_sequence"	"01_BAT_r1_C_2 - nextera_transposase_sequence"	"01_Blood_r3_C_1 - nextera_transposase_sequence"	"01_Blood_r3_C_2 - nextera_transposase_sequence"	"01_Liver_r2_C_1 - nextera_transposase_sequence"	"01_Liver_r2_C_2 - nextera_transposase_sequence"	"01_scAT_r1_C_1 - nextera_transposase_sequence"	"01_scAT_r1_C_2 - nextera_transposase_sequence"	"02_BAT_r1_C_1 - nextera_transposase_sequence"	"02_BAT_r1_C_2 - nextera_transposase_sequence"	"02_Blood_r3_C_1 - nextera_transposase_sequence"	"02_Blood_r3_C_2 - nextera_transposase_sequence"	"02_Liver_r2_C_1 - nextera_transposase_sequence"	"02_Liver_r2_C_2 - nextera_transposase_sequence"	"02_scAT_r1_C_1 - nextera_transposase_sequence"	"02_scAT_r1_C_2 - nextera_transposase_sequence"	"03_BAT_r1_C_1 - nextera_transposase_sequence"	"03_BAT_r1_C_2 - nextera_transposase_sequence"	"03_Liver_r2_C_1 - nextera_transposase_sequence"	"03_Liver_r2_C_2 - nextera_transposase_sequence"	"04_BAT_r1_C_1 - nextera_transposase_sequence"	"04_BAT_r1_C_2 - nextera_transposase_sequence"	"04_Liver_r2_C_1 - nextera_transposase_sequence"	"04_Liver_r2_C_2 - nextera_transposase_sequence"	"05_BAT_r1_C_1 - nextera_transposase_sequence"	"05_BAT_r1_C_2 - nextera_transposase_sequence"	"05_Blood_r3_C_1 - nextera_transposase_sequence"	"05_Blood_r3_C_2 - nextera_transposase_sequence"	"05_Liver_r2_C_1 - nextera_transposase_sequence"	"05_Liver_r2_C_2 - nextera_transposase_sequence"	"05_scAT_r1_C_1 - nextera_transposase_sequence"	"05_scAT_r1_C_2 - nextera_transposase_sequence"	"06_BAT_r1_C_1 - nextera_transposase_sequence"	"06_BAT_r1_C_2 - nextera_transposase_sequence"	"06_Blood_r3_C_1 - nextera_transposase_sequence"	"06_Blood_r3_C_2 - nextera_transposase_sequence"	"06_Liver_r2_C_1 - nextera_transposase_sequence"	"06_Liver_r2_C_2 - nextera_transposase_sequence"	"06_scAT_r1_C_1 - nextera_transposase_sequence"	"06_scAT_r1_C_2 - nextera_transposase_sequence"	"07_BAT_r1_C_1 - nextera_transposase_sequence"	"07_BAT_r1_C_2 - nextera_transposase_sequence"	"07_Blood_r3_C_1 - nextera_transposase_sequence"	"07_Blood_r3_C_2 - nextera_transposase_sequence"	"07_Liver_r2_C_1 - nextera_transposase_sequence"	"07_Liver_r2_C_2 - nextera_transposase_sequence"	"07_scAT_r1_C_1 - nextera_transposase_sequence"	"07_scAT_r1_C_2 - nextera_transposase_sequence"	"08_BAT_r1_C_1 - nextera_transposase_sequence"	"08_BAT_r1_C_2 - nextera_transposase_sequence"	"08_Blood_r3_C_1 - nextera_transposase_sequence"	"08_Blood_r3_C_2 - nextera_transposase_sequence"	"08_Liver_r2_C_1 - nextera_transposase_sequence"	"08_Liver_r2_C_2 - nextera_transposase_sequence"	"08_scAT_r1_C_1 - nextera_transposase_sequence"	"08_scAT_r1_C_2 - nextera_transposase_sequence"	"09_BAT_r1_C_1 - nextera_transposase_sequence"	"09_BAT_r1_C_2 - nextera_transposase_sequence"	"10_BAT_r1_C_1 - nextera_transposase_sequence"	"10_BAT_r1_C_2 - nextera_transposase_sequence"	"11_BAT_r1_C_1 - nextera_transposase_sequence"	"11_BAT_r1_C_2 - nextera_transposase_sequence"	"11_BAT_r3_C_1 - nextera_transposase_sequence"	"11_BAT_r3_C_2 - nextera_transposase_sequence"	"12_BAT_r1_C_1 - nextera_transposase_sequence"	"12_BAT_r1_C_2 - nextera_transposase_sequence"	"12_BAT_r3_C_1 - nextera_transposase_sequence"	"12_BAT_r3_C_2 - nextera_transposase_sequence"	"13_BAT_r3_C_1 - nextera_transposase_sequence"	"13_BAT_r3_C_2 - nextera_transposase_sequence"	"13_Blood_r2_C_1 - nextera_transposase_sequence"	"13_Blood_r2_C_2 - nextera_transposase_sequence"	"13_scAT_r1_C_1 - nextera_transposase_sequence"	"13_scAT_r1_C_2 - nextera_transposase_sequence"	"14_BAT_r3_C_1 - nextera_transposase_sequence"	"14_BAT_r3_C_2 - nextera_transposase_sequence"	"14_Blood_r2_C_1 - nextera_transposase_sequence"	"14_Blood_r2_C_2 - nextera_transposase_sequence"	"14_scAT_r1_C_1 - nextera_transposase_sequence"	"14_scAT_r1_C_2 - nextera_transposase_sequence"	"15_BAT_r3_C_1 - nextera_transposase_sequence"	"15_BAT_r3_C_2 - nextera_transposase_sequence"	"15_Blood_r2_C_1 - nextera_transposase_sequence"	"15_Blood_r2_C_2 - nextera_transposase_sequence"	"15_Liver_r1_C_1 - nextera_transposase_sequence"	"15_Liver_r1_C_2 - nextera_transposase_sequence"	"15_scAT_r1_C_1 - nextera_transposase_sequence"	"15_scAT_r1_C_2 - nextera_transposase_sequence"	"16_BAT_r3_C_1 - nextera_transposase_sequence"	"16_BAT_r3_C_2 - nextera_transposase_sequence"	"16_Blood_r2_C_1 - nextera_transposase_sequence"	"16_Blood_r2_C_2 - nextera_transposase_sequence"	"16_Liver_r1_C_1 - nextera_transposase_sequence"	"16_Liver_r1_C_2 - nextera_transposase_sequence"	"16_scAT_r1_C_1 - nextera_transposase_sequence"	"16_scAT_r1_C_2 - nextera_transposase_sequence"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0.000906470385612502	0	0	0	0.0027932765832640832	0	0.0017867672021012382	0	0.001132554136087705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006829388223402947	0	0	0	0	0	0	0	0.0032361761342797352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.000906470385612502	0	0	0	0.0027932765832640832	0	0.0017867672021012382	0	0.001132554136087705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017980760586172794	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0	0	0.0032361761342797352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.000906470385612502	0	0	0	0.003491595729080104	0	0.002680150803151857	0	0.001132554136087705	0	0	0	0	0	0	0	0	0	0.00167549091883922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004750029687685548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017980760586172794	0	0	0	0	0	0	0	0	0	0	0	0.0013979952747759713	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0.001232696029486089	0	0.0032361761342797352	0	0	0	0	0	0.004045171077026799	0	0	0	0	0	0	0	0.00128600271775241	0
5	0	0	0.000906470385612502	0	0	0	0.003491595729080104	0	0.002680150803151857	0	0.001132554136087705	0	0	0	0	0	0	0	0	0	0.00167549091883922	0	0	0	0	0	0	0	0.0010237510237510238	0	0	0	0	0	0	0	0.004750029687685548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017980760586172794	0	0	0	0	0	0	0	0	0	0	0	0.0013979952747759713	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0.001232696029486089	0	0.0032361761342797352	0	0	0	0	0	0.004045171077026799	0	0	0	0	0	0	0	0.00128600271775241	0
6	0	0	0.000906470385612502	0	0	0	0.003491595729080104	0	0.002680150803151857	0	0.001132554136087705	0	0	0	0	0	0	0	0	0	0.00167549091883922	0	0	0	0	0	0	0	0.0010237510237510238	0	0	0	0	0	0	0	0.004750029687685548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017980760586172794	0	0	0	0	0	0	0	0	0	0	0	0.0013979952747759713	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0.001232696029486089	0	0.0032361761342797352	0	0	0	0	0	0.004045171077026799	0	0	0	0	0	0	0	0.00128600271775241	0
7	0.0015504957710227845	0	0.000906470385612502	0	0	0	0.004189914874896125	0	0.002680150803151857	0	0.001132554136087705	0	0	0	0	0	0.005770540237977079	0	0	0	0.00167549091883922	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.0006249375062493751	0	0	0	0	0	0.004750029687685548	0	0	0	0.0015105968368102237	0	0.0011516756881262238	0	0	0	0	0	0.00184593801340151	0	0	0	0	0	0	0	0.0017980760586172794	0	0	0	0	0	0	0	0	0	0	0	0.0013979952747759713	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0.001232696029486089	0	0.0064723522685594705	0	0.0007809693391437453	0	0	0	0.004045171077026799	0	0	0	0	0	0.0019088705213125394	0	0.00128600271775241	0
8	0.0023257436565341768	0	0.000906470385612502	0	0	0	0.004189914874896125	0	0.002680150803151857	0	0.001132554136087705	0	0	0	0	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.0012498750124987502	0	0	0	0.005815982319413749	0	0.004750029687685548	0	0	0	0.0015105968368102237	0	0.0011516756881262238	0	0.0049504950495049506	0	0.001558919357101657	0	0.00184593801340151	0	0	0	0	0	0	0	0.0017980760586172794	0	0	0	0	0	0	0	0.005901794145420208	0	0	0	0.0013979952747759713	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.003123877356574981	0	0	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.0017146702903365469	0
9	0.0023257436565341768	0	0.000906470385612502	0	0.0009375585974123383	0	0.0048882340207121455	0	0.002680150803151857	0	0.00226510827217541	0	0	0	0	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.0012498750124987502	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0	0	0.0015105968368102237	0	0.003455027064378671	0	0.0049504950495049506	0	0.003117838714203314	0	0.00184593801340151	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0013979952747759713	0	0.001826617469769481	0	0.0006829388223402947	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.003904846695718726	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.0021433378629206836	0
10	0.003100991542045569	0	0.000906470385612502	0	0.0009375585974123383	0	0.0048882340207121455	0	0.002680150803151857	0	0.00226510827217541	0	0	0	0	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.0012498750124987502	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0	0	0.0030211936736204473	0	0.003455027064378671	0	0.0049504950495049506	0	0.003117838714203314	0	0.00369187602680302	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.0020488164670208844	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.003904846695718726	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
