"Position (bp)"	"01_BAT_r2_C_1 - nextera_transposase_sequence"	"01_BAT_r2_C_2 - nextera_transposase_sequence"	"01_Blood_r1_C_1 - nextera_transposase_sequence"	"01_Blood_r1_C_2 - nextera_transposase_sequence"	"02_Blood_r1_C_1 - nextera_transposase_sequence"	"02_Blood_r1_C_2 - nextera_transposase_sequence"	"03_Blood_r1_C_1 - nextera_transposase_sequence"	"03_Blood_r1_C_2 - nextera_transposase_sequence"	"03_Blood_r3_C_1 - nextera_transposase_sequence"	"03_Blood_r3_C_2 - nextera_transposase_sequence"	"03_scAT_r1_C_1 - nextera_transposase_sequence"	"03_scAT_r1_C_2 - nextera_transposase_sequence"	"04_Blood_r3_C_1 - nextera_transposase_sequence"	"04_Blood_r3_C_2 - nextera_transposase_sequence"	"04_scAT_r1_C_1 - nextera_transposase_sequence"	"04_scAT_r1_C_2 - nextera_transposase_sequence"	"05_BAT_r2_C_1 - nextera_transposase_sequence"	"05_BAT_r2_C_2 - nextera_transposase_sequence"	"05_Blood_r1_C_1 - nextera_transposase_sequence"	"05_Blood_r1_C_2 - nextera_transposase_sequence"	"05_Liver_r3_C_1 - nextera_transposase_sequence"	"05_Liver_r3_C_2 - nextera_transposase_sequence"	"06_BAT_r2_C_1 - nextera_transposase_sequence"	"06_BAT_r2_C_2 - nextera_transposase_sequence"	"06_Blood_r1_C_1 - nextera_transposase_sequence"	"06_Blood_r1_C_2 - nextera_transposase_sequence"	"07_BAT_r2_C_1 - nextera_transposase_sequence"	"07_BAT_r2_C_2 - nextera_transposase_sequence"	"07_Blood_r1_C_1 - nextera_transposase_sequence"	"07_Blood_r1_C_2 - nextera_transposase_sequence"	"08_BAT_r2_C_1 - nextera_transposase_sequence"	"08_BAT_r2_C_2 - nextera_transposase_sequence"	"08_Blood_r1_C_1 - nextera_transposase_sequence"	"08_Blood_r1_C_2 - nextera_transposase_sequence"	"09_Blood_r3_C_1 - nextera_transposase_sequence"	"09_Blood_r3_C_2 - nextera_transposase_sequence"	"09_Liver_r2_C_1 - nextera_transposase_sequence"	"09_Liver_r2_C_2 - nextera_transposase_sequence"	"09_scAT_r1_C_1 - nextera_transposase_sequence"	"09_scAT_r1_C_2 - nextera_transposase_sequence"	"10_Blood_r3_C_1 - nextera_transposase_sequence"	"10_Blood_r3_C_2 - nextera_transposase_sequence"	"10_Liver_r2_C_1 - nextera_transposase_sequence"	"10_Liver_r2_C_2 - nextera_transposase_sequence"	"10_scAT_r1_C_1 - nextera_transposase_sequence"	"10_scAT_r1_C_2 - nextera_transposase_sequence"	"11_Blood_r3_C_1 - nextera_transposase_sequence"	"11_Blood_r3_C_2 - nextera_transposase_sequence"	"11_Liver_r2_C_1 - nextera_transposase_sequence"	"11_Liver_r2_C_2 - nextera_transposase_sequence"	"11_scAT_r1_C_1 - nextera_transposase_sequence"	"11_scAT_r1_C_2 - nextera_transposase_sequence"	"12_Blood_r3_C_1 - nextera_transposase_sequence"	"12_Blood_r3_C_2 - nextera_transposase_sequence"	"12_Liver_r2_C_1 - nextera_transposase_sequence"	"12_Liver_r2_C_2 - nextera_transposase_sequence"	"12_scAT_r1_C_1 - nextera_transposase_sequence"	"12_scAT_r1_C_2 - nextera_transposase_sequence"	"13_BAT_r1_C_1 - nextera_transposase_sequence"	"13_BAT_r1_C_2 - nextera_transposase_sequence"	"13_Blood_r3_C_1 - nextera_transposase_sequence"	"13_Blood_r3_C_2 - nextera_transposase_sequence"	"13_Liver_r2_C_1 - nextera_transposase_sequence"	"13_Liver_r2_C_2 - nextera_transposase_sequence"	"13_scAT_r2_C_1 - nextera_transposase_sequence"	"13_scAT_r2_C_2 - nextera_transposase_sequence"	"14_BAT_r1_C_1 - nextera_transposase_sequence"	"14_BAT_r1_C_2 - nextera_transposase_sequence"	"14_Blood_r3_C_1 - nextera_transposase_sequence"	"14_Blood_r3_C_2 - nextera_transposase_sequence"	"14_Liver_r2_C_1 - nextera_transposase_sequence"	"14_Liver_r2_C_2 - nextera_transposase_sequence"	"14_scAT_r2_C_1 - nextera_transposase_sequence"	"14_scAT_r2_C_2 - nextera_transposase_sequence"	"15_BAT_r1_C_1 - nextera_transposase_sequence"	"15_BAT_r1_C_2 - nextera_transposase_sequence"	"15_Blood_r3_C_1 - nextera_transposase_sequence"	"15_Blood_r3_C_2 - nextera_transposase_sequence"	"15_Liver_r2_C_1 - nextera_transposase_sequence"	"15_Liver_r2_C_2 - nextera_transposase_sequence"	"15_scAT_r2_C_1 - nextera_transposase_sequence"	"15_scAT_r2_C_2 - nextera_transposase_sequence"	"16_BAT_r1_C_1 - nextera_transposase_sequence"	"16_BAT_r1_C_2 - nextera_transposase_sequence"	"16_Blood_r3_C_1 - nextera_transposase_sequence"	"16_Blood_r3_C_2 - nextera_transposase_sequence"	"16_Liver_r2_C_1 - nextera_transposase_sequence"	"16_Liver_r2_C_2 - nextera_transposase_sequence"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0.0013243454422651605	0	0	0	0	0	0.000832826697092602	0	0.0006632619221330503	0	0	0	0	0	0.0010284045332071823	0	0	0	0.0052130848429558195	0	0.0013760268600443082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008322791131233771	0	0	0	0.0009953219866626853	0	0	0	0	0	0	0	0	0	0	0	0.0006998635266123106	0	0	0	0	0	0.0012017930752683003	0	0.0011195575508559017	0	0	0	0	0	0	0	0	0	0	0	0.0009709020651086925	0	0	0
3	0	0	0	0	0	0	0.0013243454422651605	0	0	0	0	0	0.000832826697092602	0	0.0006632619221330503	0	0	0	0	0	0.0010284045332071823	0	0	0	0.0052130848429558195	0	0.0013760268600443082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008322791131233771	0	0	0	0.0019906439733253707	0	0	0	0	0	0	0	0	0	0	0	0.0006998635266123106	0	0	0	0	0	0.0012017930752683003	0	0.0011195575508559017	0	0.001136596121934032	0	0	0	0	0	0	0	0	0	0.0009709020651086925	0	0	0
4	0	0	0	0	0	0	0.0013243454422651605	0	0	0	0	0	0.000832826697092602	0	0.0006632619221330503	0	0	0	0	0	0.0010284045332071823	0	0	0	0.009122898475172683	0	0.0013760268600443082	0	0	0	0	0	0.001134906313483822	0	0	0	0	0	0	0	0.003001801080648389	0	0	0	0	0	0.0031511446532953096	0	0.0008322791131233771	0	0.0008054123711340206	0	0.0019906439733253707	0	0	0	0	0	0.0020281095990427322	0	0	0	0	0	0.0006998635266123106	0	0	0	0.003064382680109092	0	0.0012017930752683003	0	0.0011195575508559017	0	0.001136596121934032	0	0	0	0	0	0	0	0	0	0.0009709020651086925	0	0	0
5	0	0	0	0	0	0	0.0013243454422651605	0	0	0	0	0	0.000832826697092602	0	0.0006632619221330503	0	0.0016260691404598523	0	0	0	0.0010284045332071823	0	0	0	0.009122898475172683	0	0.0013760268600443082	0	0	0	0	0	0.001134906313483822	0	0	0	0	0	0	0	0.003001801080648389	0	0	0	0	0	0.0031511446532953096	0	0.0008322791131233771	0	0.0008054123711340206	0	0.0019906439733253707	0	0	0	0	0	0.0020281095990427322	0	0	0	0	0	0.0006998635266123106	0	0	0	0.003064382680109092	0	0.0012017930752683003	0	0.0011195575508559017	0	0.001136596121934032	0	0	0	0	0	0	0	0	0	0.0009709020651086925	0	0	0
6	0	0	0	0	0	0	0.0013243454422651605	0	0	0	0	0	0.000832826697092602	0	0.0006632619221330503	0	0.0016260691404598523	0	0	0	0.0010284045332071823	0	0.0021922132585057872	0	0.009122898475172683	0	0.0013760268600443082	0	0	0	0	0	0.001134906313483822	0	0	0	0	0	0	0	0.003001801080648389	0	0	0	0	0	0.0031511446532953096	0	0.0008322791131233771	0	0.0008054123711340206	0	0.0019906439733253707	0	0	0	0	0	0.0020281095990427322	0	0	0	0	0	0.0006998635266123106	0	0	0	0.003064382680109092	0	0.0012017930752683003	0	0.0011195575508559017	0	0.001136596121934032	0	0	0	0	0	0	0	0	0	0.0009709020651086925	0	0	0
7	0.0010424376361684161	0	0.0018548918134349815	0	0	0	0.003973036326795481	0	0.0008959208722685612	0	0.0009137092942509411	0	0.001665653394185204	0	0.0006632619221330503	0	0.0016260691404598523	0	0	0	0.0010284045332071823	0	0.0021922132585057872	0	0.009122898475172683	0	0.00344006715011077	0	0	0	0.002222946738196153	0	0.002269812626967644	0	0.003990104540738967	0	0	0	0.0029582735515553123	0	0.003001801080648389	0	0	0	0	0	0.0031511446532953096	0	0.0016645582262467542	0	0.0008054123711340206	0	0.0019906439733253707	0	0	0	0.0017676276669082425	0	0.0020281095990427322	0	0	0	0	0	0.0020995905798369316	0	0	0	0.005107304466848487	0	0.0012017930752683003	0	0.0011195575508559017	0	0.002273192243868064	0	0.0008067248584197874	0	0	0	0	0	0	0	0.00388360826043477	0	0	0
8	0.0010424376361684161	0	0.002782337720152472	0	0.0031762837480148226	0	0.003973036326795481	0	0.0008959208722685612	0	0.0009137092942509411	0	0.001665653394185204	0	0.0006632619221330503	0	0.0016260691404598523	0	0	0	0.0010284045332071823	0	0.0032883198877586813	0	0.009122898475172683	0	0.00344006715011077	0	0	0	0.004445893476392306	0	0.002269812626967644	0	0.007980209081477934	0	0	0	0.0029582735515553123	0	0.003001801080648389	0	0	0	0.0008223346079519756	0	0.0031511446532953096	0	0.0016645582262467542	0	0.0008054123711340206	0	0.0019906439733253707	0	0	0	0.0026514415003623636	0	0.0020281095990427322	0	0	0	0	0	0.005598908212898485	0	0	0	0.005107304466848487	0	0.0024035861505366006	0	0.0011195575508559017	0	0.002273192243868064	0	0.0016134497168395748	0	0	0	0	0	0	0	0.00388360826043477	0	0	0
9	0.0010424376361684161	0	0.002782337720152472	0	0.0031762837480148226	0	0.003973036326795481	0	0.0008959208722685612	0	0.0009137092942509411	0	0.001665653394185204	0	0.0006632619221330503	0	0.0016260691404598523	0	0	0	0.0010284045332071823	0	0.0032883198877586813	0	0.009122898475172683	0	0.00344006715011077	0	0	0	0.004445893476392306	0	0.002269812626967644	0	0.007980209081477934	0	0	0	0.007395683878888281	0	0.0040024014408645186	0	0	0	0.0008223346079519756	0	0.0031511446532953096	0	0.002496837339370131	0	0.002416237113402062	0	0.0019906439733253707	0	0	0	0.003535255333816485	0	0.0020281095990427322	0	0	0	0	0	0.008398362319347727	0	0	0	0.006128765360218184	0	0.0024035861505366006	0	0.0011195575508559017	0	0.002273192243868064	0	0.0016134497168395748	0	0.0028120694018728383	0	0	0	0	0	0.00388360826043477	0	0	0
10	0.0010424376361684161	0	0.002782337720152472	0	0.0031762837480148226	0	0.003973036326795481	0	0.0008959208722685612	0	0.0009137092942509411	0	0.001665653394185204	0	0.0013265238442661006	0	0.009756414842759114	0	0	0	0.0010284045332071823	0	0.0032883198877586813	0	0.009122898475172683	0	0.003784073865121847	0	0	0	0.004445893476392306	0	0.002269812626967644	0	0.007980209081477934	0	0	0	0.007395683878888281	0	0.0040024014408645186	0	0	0	0.0008223346079519756	0	0.0031511446532953096	0	0.002496837339370131	0	0.002416237113402062	0	0.0019906439733253707	0	0	0	0.005744789917451788	0	0.0040562191980854645	0	0	0	0	0	0.009098225845960038	0	0	0	0.006128765360218184	0	0.0024035861505366006	0	0.0011195575508559017	0	0.002273192243868064	0	0.0016134497168395748	0	0.0028120694018728383	0	0	0	0	0	0.00388360826043477	0	0	0
