"Position (bp)"	"01_Liver_r3_C_1 - nextera_transposase_sequence"	"01_Liver_r3_C_2 - nextera_transposase_sequence"	"01_scAT_r2_C_1 - nextera_transposase_sequence"	"01_scAT_r2_C_2 - nextera_transposase_sequence"	"02_BAT_r2_C_1 - nextera_transposase_sequence"	"02_BAT_r2_C_2 - nextera_transposase_sequence"	"02_Liver_r3_C_1 - nextera_transposase_sequence"	"02_Liver_r3_C_2 - nextera_transposase_sequence"	"02_scAT_r2_C_1 - nextera_transposase_sequence"	"02_scAT_r2_C_2 - nextera_transposase_sequence"	"03_BAT_r2_C_1 - nextera_transposase_sequence"	"03_BAT_r2_C_2 - nextera_transposase_sequence"	"03_Liver_r3_C_1 - nextera_transposase_sequence"	"03_Liver_r3_C_2 - nextera_transposase_sequence"	"03_scAT_r2_C_1 - nextera_transposase_sequence"	"03_scAT_r2_C_2 - nextera_transposase_sequence"	"04_BAT_r2_C_1 - nextera_transposase_sequence"	"04_BAT_r2_C_2 - nextera_transposase_sequence"	"04_Blood_r1_C_1 - nextera_transposase_sequence"	"04_Blood_r1_C_2 - nextera_transposase_sequence"	"04_Liver_r3_C_1 - nextera_transposase_sequence"	"04_Liver_r3_C_2 - nextera_transposase_sequence"	"04_scAT_r2_C_1 - nextera_transposase_sequence"	"04_scAT_r2_C_2 - nextera_transposase_sequence"	"05_Blood_r2_C_1 - nextera_transposase_sequence"	"05_Blood_r2_C_2 - nextera_transposase_sequence"	"05_Liver_r1_C_1 - nextera_transposase_sequence"	"05_Liver_r1_C_2 - nextera_transposase_sequence"	"05_scAT_r2_C_1 - nextera_transposase_sequence"	"05_scAT_r2_C_2 - nextera_transposase_sequence"	"06_Liver_r1_C_1 - nextera_transposase_sequence"	"06_Liver_r1_C_2 - nextera_transposase_sequence"	"06_Liver_r3_C_1 - nextera_transposase_sequence"	"06_Liver_r3_C_2 - nextera_transposase_sequence"	"06_scAT_r2_C_1 - nextera_transposase_sequence"	"06_scAT_r2_C_2 - nextera_transposase_sequence"	"07_Liver_r1_C_1 - nextera_transposase_sequence"	"07_Liver_r1_C_2 - nextera_transposase_sequence"	"07_Liver_r3_C_1 - nextera_transposase_sequence"	"07_Liver_r3_C_2 - nextera_transposase_sequence"	"07_scAT_r2_C_1 - nextera_transposase_sequence"	"07_scAT_r2_C_2 - nextera_transposase_sequence"	"08_Liver_r3_C_1 - nextera_transposase_sequence"	"08_Liver_r3_C_2 - nextera_transposase_sequence"	"08_scAT_r2_C_1 - nextera_transposase_sequence"	"08_scAT_r2_C_2 - nextera_transposase_sequence"	"09_BAT_r2_C_1 - nextera_transposase_sequence"	"09_BAT_r2_C_2 - nextera_transposase_sequence"	"09_Blood_r1_C_1 - nextera_transposase_sequence"	"09_Blood_r1_C_2 - nextera_transposase_sequence"	"09_Liver_r3_C_1 - nextera_transposase_sequence"	"09_Liver_r3_C_2 - nextera_transposase_sequence"	"09_scAT_r2_C_1 - nextera_transposase_sequence"	"09_scAT_r2_C_2 - nextera_transposase_sequence"	"10_BAT_r2_C_1 - nextera_transposase_sequence"	"10_BAT_r2_C_2 - nextera_transposase_sequence"	"10_Blood_r1_C_1 - nextera_transposase_sequence"	"10_Blood_r1_C_2 - nextera_transposase_sequence"	"10_Liver_r3_C_1 - nextera_transposase_sequence"	"10_Liver_r3_C_2 - nextera_transposase_sequence"	"10_scAT_r2_C_1 - nextera_transposase_sequence"	"10_scAT_r2_C_2 - nextera_transposase_sequence"	"11_BAT_r2_C_1 - nextera_transposase_sequence"	"11_BAT_r2_C_2 - nextera_transposase_sequence"	"11_Blood_r1_C_1 - nextera_transposase_sequence"	"11_Blood_r1_C_2 - nextera_transposase_sequence"	"11_Liver_r3_C_1 - nextera_transposase_sequence"	"11_Liver_r3_C_2 - nextera_transposase_sequence"	"11_scAT_r2_C_1 - nextera_transposase_sequence"	"11_scAT_r2_C_2 - nextera_transposase_sequence"	"12_BAT_r2_C_1 - nextera_transposase_sequence"	"12_BAT_r2_C_2 - nextera_transposase_sequence"	"12_Blood_r1_C_1 - nextera_transposase_sequence"	"12_Blood_r1_C_2 - nextera_transposase_sequence"	"12_Liver_r3_C_1 - nextera_transposase_sequence"	"12_Liver_r3_C_2 - nextera_transposase_sequence"	"13_BAT_r2_C_1 - nextera_transposase_sequence"	"13_BAT_r2_C_2 - nextera_transposase_sequence"	"13_Blood_r1_C_1 - nextera_transposase_sequence"	"13_Blood_r1_C_2 - nextera_transposase_sequence"	"13_Liver_r3_C_1 - nextera_transposase_sequence"	"13_Liver_r3_C_2 - nextera_transposase_sequence"	"14_BAT_r2_C_1 - nextera_transposase_sequence"	"14_BAT_r2_C_2 - nextera_transposase_sequence"	"14_Blood_r1_C_1 - nextera_transposase_sequence"	"14_Blood_r1_C_2 - nextera_transposase_sequence"	"15_BAT_r2_C_1 - nextera_transposase_sequence"	"15_BAT_r2_C_2 - nextera_transposase_sequence"	"15_Blood_r1_C_1 - nextera_transposase_sequence"	"15_Blood_r1_C_2 - nextera_transposase_sequence"	"16_BAT_r2_C_1 - nextera_transposase_sequence"	"16_BAT_r2_C_2 - nextera_transposase_sequence"	"16_Blood_r1_C_1 - nextera_transposase_sequence"	"16_Blood_r1_C_2 - nextera_transposase_sequence"	"16_scAT_r2_C_1 - nextera_transposase_sequence"	"16_scAT_r2_C_2 - nextera_transposase_sequence"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0007048458149779736	0	0	0	0	0	0	0	0.0022580754423005274	0	0.009466260669264629	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002989402567896806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010078511605406113	0	0.0034229870696663445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012321644200202074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.0007048458149779736	0	0	0	0	0	0	0	0.0022580754423005274	0	0.009466260669264629	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002989402567896806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010078511605406113	0	0.0034229870696663445	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001864002385923054	0	0.0012321644200202074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010951942874665966	0	0	0	0	0
4	0.0007048458149779736	0	0	0	0	0	0	0	0.0022580754423005274	0	0.009466260669264629	0	0.0016170240289770706	0	0	0	0	0	0	0	0	0	0.0017655367231638418	0	0.002989402567896806	0	0	0	0	0	0	0	0.0023386068918745105	0	0	0	0	0	0	0	0	0	0.0010078511605406113	0	0.0034229870696663445	0	0	0	0	0	0	0	0.0008678596844462187	0	0	0	0.003028009084027252	0	0.001864002385923054	0	0.002464328840040415	0	0	0	0	0	0	0	0	0	0.001219422969051045	0	0.0022982958136541754	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004530284954923664	0	0	0	0.0010951942874665966	0	0	0	0	0
5	0.0007048458149779736	0	0	0	0	0	0	0	0.0022580754423005274	0	0.009466260669264629	0	0.0016170240289770706	0	0	0	0	0	0	0	0	0	0.0017655367231638418	0	0.002989402567896806	0	0	0	0	0	0	0	0.0023386068918745105	0	0.0009957679860592482	0	0	0	0	0	0	0	0.0010078511605406113	0	0.0034229870696663445	0	0	0	0	0	0	0	0.0008678596844462187	0	0	0	0.003028009084027252	0	0.001864002385923054	0	0.002464328840040415	0	0	0	0.001324415601615787	0	0	0	0	0	0.001219422969051045	0	0.0022982958136541754	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004530284954923664	0	0	0	0.0010951942874665966	0	0	0	0	0
6	0.0007048458149779736	0	0	0	0	0	0	0	0.0022580754423005274	0	0.009466260669264629	0	0.0016170240289770706	0	0	0	0	0	0	0	0	0	0.0017655367231638418	0	0.002989402567896806	0	0	0	0	0	0	0	0.0023386068918745105	0	0.0009957679860592482	0	0	0	0	0	0	0	0.0010078511605406113	0	0.0034229870696663445	0	0	0	0	0	0	0	0.0008678596844462187	0	0	0	0.003028009084027252	0	0.001864002385923054	0	0.002464328840040415	0	0	0	0.001324415601615787	0	0	0	0	0	0.001219422969051045	0	0.0022982958136541754	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004530284954923664	0	0	0	0.0010951942874665966	0	0	0	0	0
7	0.0014096916299559472	0	0.0017904782367370324	0	0	0	0.0008019889325527308	0	0.007903264048051846	0	0.009466260669264629	0	0.0016170240289770706	0	0	0	0	0	0	0	0	0	0.005296610169491525	0	0.002989402567896806	0	0	0	0.0013618412093149939	0	0	0	0.0035079103378117655	0	0.0009957679860592482	0	0.0019127773527161439	0	0.003037159648296913	0	0	0	0.00705495812378428	0	0.0034229870696663445	0	0	0	0.00362568434792067	0	0	0	0.005207158106677313	0	0	0	0.003028009084027252	0	0.001864002385923054	0	0.002464328840040415	0	0	0	0.001324415601615787	0	0	0	0.003267475548391313	0	0.001219422969051045	0	0.005745739534135439	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006040379939898219	0	0.0014316802199060817	0	0.0010951942874665966	0	0	0	0.0010274007787697903	0
8	0.0014096916299559472	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0016170240289770706	0	0	0	0	0	0	0	0.0009092231597323247	0	0.005296610169491525	0	0.004484103851845209	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0019127773527161439	0	0.004555739472445369	0	0.000942800305467299	0	0.00705495812378428	0	0.0034229870696663445	0	0.0009624268555589776	0	0.00362568434792067	0	0	0	0.0069428774755697495	0	0	0	0.006056018168054504	0	0.001864002385923054	0	0.0036964932600606227	0	0.004046535154274153	0	0.001324415601615787	0	0	0	0.003267475548391313	0	0.001219422969051045	0	0.006894887440962527	0	0.0010333033675356748	0	0	0	0	0	0	0	0	0	0	0	0.006040379939898219	0	0.0028633604398121634	0	0.004380777149866386	0	0	0	0.0020548015575395807	0
9	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0016170240289770706	0	0	0	0	0	0	0	0.0009092231597323247	0	0.005296610169491525	0	0.004484103851845209	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0019127773527161439	0	0.004555739472445369	0	0.0047140015273364946	0	0.00705495812378428	0	0.004278733837082931	0	0.0009624268555589776	0	0.00362568434792067	0	0	0	0.0069428774755697495	0	0	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.003267475548391313	0	0.001219422969051045	0	0.006894887440962527	0	0.0010333033675356748	0	0	0	0.0027151041242431647	0	0	0	0	0	0	0	0.006040379939898219	0	0.0028633604398121634	0	0.004380777149866386	0	0	0	0.003082202336309371	0
10	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0	0	0	0	0	0	0.0009092231597323247	0	0.005296610169491525	0	0.004484103851845209	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.004555739472445369	0	0.0047140015273364946	0	0.00806280928432489	0	0.004278733837082931	0	0.0009624268555589776	0	0.00362568434792067	0	0	0	0.008678596844462188	0	0	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.003267475548391313	0	0.001219422969051045	0	0.006894887440962527	0	0.0030999101026070244	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0	0	0.006040379939898219	0	0.0028633604398121634	0	0.005475971437332983	0	0	0	0.003082202336309371	0
