"Position (bp)"	"01_BAT_r3_C_1 - nextera_transposase_sequence"	"01_BAT_r3_C_2 - nextera_transposase_sequence"	"01_Blood_r2_C_1 - nextera_transposase_sequence"	"01_Blood_r2_C_2 - nextera_transposase_sequence"	"01_Liver_r1_C_1 - nextera_transposase_sequence"	"01_Liver_r1_C_2 - nextera_transposase_sequence"	"02_BAT_r3_C_1 - nextera_transposase_sequence"	"02_BAT_r3_C_2 - nextera_transposase_sequence"	"02_Blood_r2_C_1 - nextera_transposase_sequence"	"02_Blood_r2_C_2 - nextera_transposase_sequence"	"02_Liver_r1_C_1 - nextera_transposase_sequence"	"02_Liver_r1_C_2 - nextera_transposase_sequence"	"03_BAT_r3_C_1 - nextera_transposase_sequence"	"03_BAT_r3_C_2 - nextera_transposase_sequence"	"03_Blood_r2_C_1 - nextera_transposase_sequence"	"03_Blood_r2_C_2 - nextera_transposase_sequence"	"03_Liver_r1_C_1 - nextera_transposase_sequence"	"03_Liver_r1_C_2 - nextera_transposase_sequence"	"04_BAT_r3_C_1 - nextera_transposase_sequence"	"04_BAT_r3_C_2 - nextera_transposase_sequence"	"04_Blood_r2_C_1 - nextera_transposase_sequence"	"04_Blood_r2_C_2 - nextera_transposase_sequence"	"04_Liver_r1_C_1 - nextera_transposase_sequence"	"04_Liver_r1_C_2 - nextera_transposase_sequence"	"05_BAT_r3_C_1 - nextera_transposase_sequence"	"05_BAT_r3_C_2 - nextera_transposase_sequence"	"05_scAT_r3_C_1 - nextera_transposase_sequence"	"05_scAT_r3_C_2 - nextera_transposase_sequence"	"06_BAT_r3_C_1 - nextera_transposase_sequence"	"06_BAT_r3_C_2 - nextera_transposase_sequence"	"06_Blood_r2_C_1 - nextera_transposase_sequence"	"06_Blood_r2_C_2 - nextera_transposase_sequence"	"06_scAT_r3_C_1 - nextera_transposase_sequence"	"06_scAT_r3_C_2 - nextera_transposase_sequence"	"07_BAT_r3_C_1 - nextera_transposase_sequence"	"07_BAT_r3_C_2 - nextera_transposase_sequence"	"07_Blood_r2_C_1 - nextera_transposase_sequence"	"07_Blood_r2_C_2 - nextera_transposase_sequence"	"07_scAT_r3_C_1 - nextera_transposase_sequence"	"07_scAT_r3_C_2 - nextera_transposase_sequence"	"08_BAT_r3_C_1 - nextera_transposase_sequence"	"08_BAT_r3_C_2 - nextera_transposase_sequence"	"08_Blood_r2_C_1 - nextera_transposase_sequence"	"08_Blood_r2_C_2 - nextera_transposase_sequence"	"08_Liver_r1_C_1 - nextera_transposase_sequence"	"08_Liver_r1_C_2 - nextera_transposase_sequence"	"08_scAT_r3_C_1 - nextera_transposase_sequence"	"08_scAT_r3_C_2 - nextera_transposase_sequence"	"09_BAT_r3_C_1 - nextera_transposase_sequence"	"09_BAT_r3_C_2 - nextera_transposase_sequence"	"09_Blood_r2_C_1 - nextera_transposase_sequence"	"09_Blood_r2_C_2 - nextera_transposase_sequence"	"09_Liver_r1_C_1 - nextera_transposase_sequence"	"09_Liver_r1_C_2 - nextera_transposase_sequence"	"10_BAT_r3_C_1 - nextera_transposase_sequence"	"10_BAT_r3_C_2 - nextera_transposase_sequence"	"10_Blood_r2_C_1 - nextera_transposase_sequence"	"10_Blood_r2_C_2 - nextera_transposase_sequence"	"10_Liver_r1_C_1 - nextera_transposase_sequence"	"10_Liver_r1_C_2 - nextera_transposase_sequence"	"11_Blood_r2_C_1 - nextera_transposase_sequence"	"11_Blood_r2_C_2 - nextera_transposase_sequence"	"11_Liver_r1_C_1 - nextera_transposase_sequence"	"11_Liver_r1_C_2 - nextera_transposase_sequence"	"12_Blood_r2_C_1 - nextera_transposase_sequence"	"12_Blood_r2_C_2 - nextera_transposase_sequence"	"12_Liver_r1_C_1 - nextera_transposase_sequence"	"12_Liver_r1_C_2 - nextera_transposase_sequence"	"12_scAT_r2_C_1 - nextera_transposase_sequence"	"12_scAT_r2_C_2 - nextera_transposase_sequence"	"13_Liver_r1_C_1 - nextera_transposase_sequence"	"13_Liver_r1_C_2 - nextera_transposase_sequence"	"13_scAT_r3_C_1 - nextera_transposase_sequence"	"13_scAT_r3_C_2 - nextera_transposase_sequence"	"14_Liver_r1_C_1 - nextera_transposase_sequence"	"14_Liver_r1_C_2 - nextera_transposase_sequence"	"14_Liver_r3_C_1 - nextera_transposase_sequence"	"14_Liver_r3_C_2 - nextera_transposase_sequence"	"14_scAT_r3_C_1 - nextera_transposase_sequence"	"14_scAT_r3_C_2 - nextera_transposase_sequence"	"15_Liver_r3_C_1 - nextera_transposase_sequence"	"15_Liver_r3_C_2 - nextera_transposase_sequence"	"15_scAT_r3_C_1 - nextera_transposase_sequence"	"15_scAT_r3_C_2 - nextera_transposase_sequence"	"16_Liver_r3_C_1 - nextera_transposase_sequence"	"16_Liver_r3_C_2 - nextera_transposase_sequence"	"16_scAT_r3_C_1 - nextera_transposase_sequence"	"16_scAT_r3_C_2 - nextera_transposase_sequence"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.003614414284165251	0	0	0	0	0	0	0	0	0	0	0	0.0016417395872666677	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001281180736166451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002457274145790075	0	0.005628940258180727	0	0	0	0.005395562150131517	0	0	0	0	0
3	0.003614414284165251	0	0	0	0	0	0	0	0	0	0	0	0.0016417395872666677	0	0	0	0	0	0.0038206826286296485	0	0	0	0	0	0	0	0.001281180736166451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009860182610581948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001643952719919775	0	0	0	0	0	0	0	0.002457274145790075	0	0.005628940258180727	0	0	0	0.005395562150131517	0	0	0	0	0
4	0.003614414284165251	0	0	0	0	0	0	0	0	0	0	0	0.0016417395872666677	0	0	0	0	0	0.0038206826286296485	0	0	0	0	0	0	0	0.001281180736166451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009860182610581948	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006878288681775974	0	0	0	0	0	0	0	0.00328790543983955	0	0.002363563308043206	0	0.007621370322383965	0	0	0	0.002457274145790075	0	0.005628940258180727	0	0	0	0.005395562150131517	0	0	0	0	0
5	0.003614414284165251	0	0	0	0	0	0	0	0	0	0	0	0.0016417395872666677	0	0	0	0	0	0.0038206826286296485	0	0	0	0	0	0	0	0.001281180736166451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009860182610581948	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006878288681775974	0	0.0030680493342332945	0	0	0	0	0	0.00328790543983955	0	0.002363563308043206	0	0.007621370322383965	0	0	0	0.002457274145790075	0	0.005628940258180727	0	0	0	0.005395562150131517	0	0	0	0	0
6	0.003614414284165251	0	0	0	0	0	0	0	0	0	0	0	0.0016417395872666677	0	0	0	0	0	0.0038206826286296485	0	0	0	0	0	0	0	0.001281180736166451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009860182610581948	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006878288681775974	0	0.0030680493342332945	0	0	0	0	0	0.00328790543983955	0	0.002363563308043206	0	0.007621370322383965	0	0	0	0.002457274145790075	0	0.005628940258180727	0	0	0	0.005395562150131517	0	0	0	0	0
7	0.004819219045553668	0	0	0	0	0	0	0	0.0010565463612543318	0	0	0	0.0032834791745333354	0	0	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.001281180736166451	0	0	0	0.002674583433630212	0	0.0014601204599379448	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009860182610581948	0	0.004476008593936501	0	0	0	0.003586286042174724	0	0	0	0.0012607637706922854	0	0	0	0.0006878288681775974	0	0.0030680493342332945	0	0	0	0.002159640635798203	0	0.00328790543983955	0	0.002363563308043206	0	0.007621370322383965	0	0.004895361644841513	0	0.002457274145790075	0	0.009381567096967877	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
8	0.004819219045553668	0	0	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.0032834791745333354	0	0	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.001281180736166451	0	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.0010036029345349806	0	0	0	0	0	0.003545344962064809	0	0.0009860182610581948	0	0.005968011458582	0	0	0	0.003586286042174724	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0006878288681775974	0	0.0030680493342332945	0	0	0	0.002159640635798203	0	0.00328790543983955	0	0.002363563308043206	0	0.013337398064171939	0	0.004895361644841513	0	0.002457274145790075	0	0.009381567096967877	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
9	0.004819219045553668	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.0032834791745333354	0	0.0006369386182253616	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.003843542208499353	0	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.0010036029345349806	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.003586286042174724	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0006878288681775974	0	0.0030680493342332945	0	0.0011090286018476416	0	0.002159640635798203	0	0.00328790543983955	0	0.002363563308043206	0	0.013337398064171939	0	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
10	0.004819219045553668	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.0019108158546760848	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.003843542208499353	0	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.0010036029345349806	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.003586286042174724	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.0011090286018476416	0	0.002159640635798203	0	0.0049318581597593255	0	0.002363563308043206	0	0.013337398064171939	0	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
