Chr	Start	End	No. Probes	Features	Descriptions	Mean Custom_library	StDev Custom_library	Mean xGen_library	StDev xGen_library	Mean Noenrichment_library	StDev Noenrichment_library
1	13126776	13126777	1			16.19696	0.0	15.778552	0.0	7.7640243	0.0
1	13126897	13126898	1			15.9465885	0.0	15.462324	0.0	5.9566693	0.0
1	13126903	13126904	1			15.968041	0.0	15.490495	0.0	5.9566693	0.0
1	13659712	13659713	1			16.725727	0.0	16.348934	0.0	8.4161005	0.0
1	15287263	15287264	1			15.423499	0.0	14.83614	0.0	4.9566693	0.0
1	16093353	16093354	1			15.431243	0.0	14.944845	0.0	5.9566693	0.0
1	42491877	42491878	1			15.933562	0.0	15.542678	0.0	6.5416317	0.0
1	42491879	42491880	1			15.924811	0.0	15.542678	0.0	6.5416317	0.0
1	42491910	42491911	1			15.99755	0.0	15.599213	0.0	7.2785974	0.0
1	42694085	42694086	1			15.792783	0.0	15.371471	0.0	6.5416317	0.0
1	42694763	42694764	1			15.081634	0.0	14.529808	0.0	5.9566693	0.0
1	42694802	42694803	1			15.017235	0.0	14.524628	0.0	4.9566693	0.0
1	42697622	42697623	1			15.227523	0.0	14.772009	0.0	6.5416317	0.0
1	55363538	55363539	1			15.429698	0.0	15.027739	0.0	5.9566693	0.0
1	55363551	55363552	1			15.454228	0.0	15.051345	0.0	5.9566693	0.0
1	55363555	55363556	1			15.507944	0.0	15.11132	0.0	5.9566693	0.0
1	55363577	55363578	1			15.5597315	0.0	15.138702	0.0	6.5416317	0.0
1	58165381	58165382	1			16.329664	0.0	15.858957	0.0	7.7640243	0.0
1	63273207	63273208	1			14.773417	0.0	14.232235	0.0	6.5416317	0.0
1	63273286	63273287	1			15.097294	0.0	14.605359	0.0	6.5416317	0.0
1	63273288	63273289	1			15.077692	0.0	14.585596	0.0	6.5416317	0.0
1	63273291	63273292	1			15.065802	0.0	14.575612	0.0	6.5416317	0.0
1	63273312	63273313	1			14.947669	0.0	14.45281	0.0	6.5416317	0.0
1	74783810	74783811	1			16.068783	0.0	15.678316	0.0	7.7640243	0.0
1	75015945	75015946	1			16.264404	0.0	15.880406	0.0	7.9566693	0.0
1	85109189	85109190	1			17.36041	0.0	16.844479	0.0	8.956669	0.0
1	89930356	89930357	1			15.497655	0.0	15.031396	0.0	6.5416317	0.0
1	89931151	89931152	1			15.99755	0.0	15.552892	0.0	7.2785974	0.0
1	89931154	89931155	1			15.989181	0.0	15.554163	0.0	6.9566693	0.0
1	89992391	89992392	1			15.457266	0.0	14.952581	0.0	4.9566693	0.0
1	101902585	101902586	1			16.344503	0.0	15.926306	0.0	7.5416317	0.0
1	109982672	109982673	1			14.690669	0.0	14.219468	0.0	4.9566693	0.0
1	109983103	109983104	1			15.497655	0.0	14.994401	0.0	7.2785974	0.0
1	109983111	109983112	1			15.42039	0.0	14.915462	0.0	7.2785974	0.0
1	109983116	109983117	1			15.377746	0.0	14.871253	0.0	7.2785974	0.0
1	112416723	112416724	1			15.893761	0.0	15.469082	0.0	7.5416317	0.0
1	120600185	120600186	1			16.165735	0.0	15.666606	0.0	8.126595	0.0
1	126925769	126925770	1			16.4071	0.0	15.957395	0.0	7.5416317	0.0
1	132767697	132767698	1			16.568186	0.0	16.138702	0.0	8.764024	0.0
1	132951989	132951990	1			16.303745	0.0	15.863068	0.0	7.2785974	0.0
1	134998387	134998388	1			15.6192465	0.0	15.208203	0.0	5.9566693	0.0
1	135374460	135374461	1			16.153616	0.0	15.66543	0.0	7.5416317	0.0
1	152956175	152956176	1			15.88927	0.0	15.45281	0.0	7.5416317	0.0
1	157444638	157444639	1			16.239922	0.0	15.747762	0.0	7.2785974	0.0
1	164693668	164693669	1			-6.643856	0.0	-6.643856	0.0	6.5416317	0.0
1	179842633	179842634	1			16.034624	0.0	15.573105	0.0	6.9566693	0.0
1	184882832	184882833	1			15.919315	0.0	15.538829	0.0	7.2785974	0.0
1	185455119	185455120	1			15.539812	0.0	15.125075	0.0	6.9566693	0.0
1	185455219	185455220	1			15.718782	0.0	15.29443	0.0	6.5416317	0.0
1	185455370	185455371	1			15.88927	0.0	15.416914	0.0	6.9566693	0.0
2	6730156	6730157	1			16.479843	0.0	16.038681	0.0	7.2785974	0.0
2	7063783	7063784	1			16.324684	0.0	15.917439	0.0	8.126595	0.0
2	9884576	9884577	1			15.888145	0.0	15.409907	0.0	6.9566693	0.0
2	16400594	16400595	1			15.580772	0.0	15.206587	0.0	6.9566693	0.0
2	21237200	21237201	1			16.475357	0.0	16.097431	0.0	7.7640243	0.0
2	29195635	29195636	1			15.78071	0.0	15.329014	0.0	7.2785974	0.0
2	29198493	29198494	1			16.444313	0.0	16.057636	0.0	8.126595	0.0
2	30652644	30652645	1			15.539812	0.0	15.053145	0.0	7.2785974	0.0
2	30652665	30652666	1			15.631399	0.0	15.147154	0.0	7.2785974	0.0
2	30652730	30652731	1			15.49618	0.0	14.944845	0.0	6.5416317	0.0
2	33975929	33975930	1			16.061817	0.0	15.540113	0.0	7.5416317	0.0
2	37793601	37793602	1			15.90826	0.0	15.50635	0.0	4.9566693	0.0
2	54436805	54436806	1			15.59187	0.0	15.135307	0.0	6.9566693	0.0
2	54436939	54436940	1			15.939004	0.0	15.568078	0.0	5.9566693	0.0
2	54437069	54437070	1			16.218601	0.0	15.88142	0.0	7.2785974	0.0
2	54437205	54437206	1			16.642115	0.0	16.268324	0.0	8.541632	0.0
2	57109445	57109446	1			16.652752	0.0	16.122507	0.0	7.7640243	0.0
2	57111362	57111363	1			16.020319	0.0	15.600444	0.0	6.5416317	0.0
2	57111388	57111389	1			16.084583	0.0	15.685297	0.0	4.9566693	0.0
2	57111502	57111503	1			16.400015	0.0	16.001877	0.0	6.9566693	0.0
2	57111641	57111642	1			16.102154	0.0	15.580612	0.0	7.7640243	0.0
2	57112007	57112008	1			16.341219	0.0	15.870233	0.0	7.2785974	0.0
2	57112041	57112042	1			16.342863	0.0	15.885468	0.0	6.9566693	0.0
2	59829395	59829396	1			16.023396	0.0	15.580612	0.0	6.5416317	0.0
2	61815602	61815603	1			14.700955	0.0	14.209818	0.0	4.9566693	0.0
2	61815608	61815609	1			14.775853	0.0	14.32455	0.0	4.9566693	0.0
2	61815777	61815778	1			15.423499	0.0	15.018556	0.0	6.5416317	0.0
2	63184154	63184155	1			15.209623	0.0	14.745537	0.0	-6.643856	0.0
2	63184156	63184157	1			15.227523	0.0	14.747762	0.0	-6.643856	0.0
2	63184163	63184164	1			15.323853	0.0	14.829853	0.0	5.9566693	0.0
2	63184233	63184234	1			15.393687	0.0	14.901542	0.0	6.9566693	0.0
2	63184245	63184246	1			15.32052	0.0	14.80015	0.0	6.9566693	0.0
2	63184273	63184274	1			14.73389	0.0	14.238577	0.0	6.9566693	0.0
2	68383838	68383839	1			16.586332	0.0	16.19685	0.0	8.126595	0.0
2	74655649	74655650	1			15.510871	0.0	15.104391	0.0	6.9566693	0.0
