	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129
1:135282173	0.959284252	0.937788036	0.92068822	0.906054171	0.893081312	0.881335578	0.87054875	0.860540315	0.851181393	0.842375884	0.834049699	0.826144193	0.818611938	0.811413887	0.804517414	0.797894902	0.791522716	0.785380435	0.779450261	0.773716568	0.768165544	0.762784904	0.757563664	0.752491952	0.747560859	0.742762308	0.738088949	0.733534073	0.729091531	0.724755676	0.720521303	0.716383603	0.712338124	0.708380732	0.704507581	0.700715089	0.696999907	0.693358904	0.689789145	0.686287875	0.682852503	0.67948059	0.676169838	0.672918074	0.669723247	0.666583414	0.663496736	0.660461466	0.657475947	0.654538604	0.651647936	0.648802518	0.646000987	0.643242046	0.640524456	0.637847031	0.63520864	0.632608197	0.630044666	0.627517051	0.625024399	0.622565793	0.620140355	0.617747239	0.615385635	0.61305476	0.610753863	0.60848222	0.606239134	0.604023933	0.601835967	0.599674611	0.597539262	0.595429336	0.593344269	0.591283517	0.589246553	0.587232867	0.585241967	0.583273374	0.581326627	0.579401277	0.57749689	0.575613045	0.573749334	0.57190536	0.57008074	0.568275099	0.566488075	0.564719316	0.562968481	0.561235235	0.559519256	0.557820229	0.556137849	0.554471817	0.552821844	0.551187648	0.549568954	0.547965493	0.546377006	0.544803239	0.543243943	0.541698877	0.540167806	0.538650499	0.537146733	0.53565629	0.534178955	0.53271452	0.531262781	0.529823541	0.528396604	0.526981781	0.525578888	0.524187742	0.522808166	0.521439988	0.520083039	0.518737151	0.517402165	0.516077921	0.514764264	0.513461042	0.512168107	0.510885314	0.50961252	0.508349585	0.507096373
1:135830783	0.6858499	0.68801544	0.690172795	0.692321904	0.694462705	0.696595138	0.698719146	0.700834669	0.702941654	0.705040045	0.707129788	0.709210833	0.711283127	0.713346623	0.715401272	0.717447027	0.719483842	0.721511675	0.723530481	0.725540219	0.72754085	0.729532333	0.731514633	0.733487711	0.735451532	0.737406064	0.739351274	0.741287129	0.7432136	0.745130658	0.747038275	0.748936425	0.750825083	0.752704224	0.754573827	0.756433868	0.758284329	0.760125189	0.76195643	0.763778036	0.76558999	0.767392279	0.769184889	0.770967806	0.772741021	0.774504522	0.776258301	0.77800235	0.779736662	0.78146123	0.783176051	0.78488112	0.786576434	0.788261992	0.789937794	0.791603838	0.793260127	0.794906663	0.796543449	0.798170489	0.799787787	0.801395351	0.802993186	0.804581302	0.806159705	0.807728406	0.809287415	0.810836744	0.812376404	0.813906409	0.815426772	0.816937507	0.81843863	0.819930157	0.821412104	0.822884491	0.824347333	0.825800652	0.827244465	0.828678795	0.830103662	0.831519087	0.832925094	0.834321706	0.835708945	0.837086837	0.838455407	0.83981468	0.841164683	0.842505441	0.843836983	0.845159337	0.84647253	0.847776593	0.849071553	0.850357442	0.851634289	0.852902127	0.854160985	0.855410897	0.856651894	0.857884009	0.859107276	0.860321728	0.861527398	0.862724323	0.863912535	0.865092072	0.866262967	0.867425257	0.868578978	0.869724167	0.870860861	0.871989096	0.873108911	0.874220343	0.87532343	0.87641821	0.877504723	0.878583006	0.8796531	0.880715043	0.881768874	0.882814635	0.883852363	0.884882101	0.885903888	0.886917764	0.887923771
1:138607275	0.903827493	0.878631644	0.861390113	0.847945341	0.836794168	0.827201857	0.818748181	0.811167882	0.804281692	0.797962215	0.79211535	0.786669432	0.781568499	0.776767942	0.772231572	0.767929593	0.763837148	0.759933273	0.756200101	0.752622278	0.7491865	0.745881156	0.742696052	0.739622181	0.736651545	0.733777006	0.730992164	0.728291259	0.725669085	0.723120922	0.720642473	0.718229817	0.715879364	0.713587821	0.711352155	0.709169569	0.707037477	0.704953482	0.702915361	0.700921043	0.6989686	0.697056231	0.695182253	0.693345089	0.69154326	0.689775377	0.688040132	0.686336295	0.684662706	0.683018268	0.681401946	0.67981276	0.67824978	0.676712128	0.675198966	0.673709501	0.672242978	0.670798678	0.669375916	0.66797404	0.666592427	0.665230482	0.663887636	0.662563347	0.661257094	0.65996838	0.658696726	0.657441676	0.65620279	0.654979647	0.653771842	0.652578986	0.651400705	0.650236639	0.649086441	0.647949778	0.646826328	0.645715781	0.644617838	0.643532211	0.64245862	0.641396798	0.640346483	0.639307425	0.638279381	0.637262116	0.636255402	0.635259019	0.634272754	0.6332964	0.632329758	0.631372632	0.630424836	0.629486186	0.628556505	0.627635621	0.626723368	0.625819582	0.624924107	0.624036788	0.623157478	0.622286032	0.621422308	0.62056617	0.619717485	0.618876121	0.618041954	0.61721486	0.616394719	0.615581414	0.614774832	0.613974861	0.613181393	0.612394322	0.611613547	0.610838965	0.61007048	0.609307995	0.608551417	0.607800655	0.60705562	0.606316224	0.605582382	0.604854012	0.604131033	0.603413364	0.602700928	0.60199365	0.601291455
1:153745071	0.879159057	0.877754626	0.876336168	0.874903597	0.873456827	0.871995772	0.870520349	0.869030474	0.867526065	0.866007039	0.864473316	0.862924816	0.861361461	0.859783174	0.858189876	0.856581494	0.854957953	0.85331918	0.851665104	0.849995655	0.848310762	0.84661036	0.844894382	0.843162764	0.841415441	0.839652355	0.837873443	0.836078649	0.834267916	0.83244119	0.830598418	0.828739549	0.826864534	0.824973326	0.82306588	0.821142154	0.819202107	0.817245699	0.815272895	0.813283661	0.811277964	0.809255775	0.807217067	0.805161815	0.803089997	0.801001593	0.798896587	0.796774963	0.79463671	0.792481818	0.790310282	0.788122097	0.785917264	0.783695783	0.781457661	0.779202906	0.776931528	0.774643542	0.772338965	0.770017817	0.767680122	0.765325907	0.762955202	0.760568041	0.758164459	0.755744498	0.7533082	0.750855613	0.748386787	0.745901776	0.743400636	0.74088343	0.738350222	0.73580108	0.733236075	0.730655283	0.728058784	0.72544666	0.722818997	0.720175887	0.717517422	0.714843701	0.712154826	0.709450901	0.706732036	0.703998344	0.701249942	0.69848695	0.695709493	0.692917699	0.6901117	0.687291633	0.684457636	0.681609853	0.678748432	0.675873524	0.672985283	0.670083869	0.667169443	0.664242172	0.661302225	0.658349777	0.655385003	0.652408086	0.649419208	0.646418559	0.643406329	0.640382714	0.637347911	0.634302124	0.631245555	0.628178416	0.625100916	0.622013271	0.618915699	0.615808422	0.612691664	0.609565652	0.606430617	0.603286791	0.600134412	0.596973717	0.593804949	0.590628351	0.587444171	0.584252657	0.581054061	0.577848638	0.574636643
1:167356513	0.850651153	0.810965134	0.784232035	0.763663368	0.74680191	0.732447848	0.719916276	0.708775867	0.698735865	0.689590192	0.681187046	0.673411128	0.666172653	0.659400242	0.653036145	0.647032937	0.641351165	0.63595763	0.63082412	0.625926442	0.621243688	0.616757659	0.612452409	0.608313885	0.604329634	0.60048857	0.596780775	0.593197341	0.589730236	0.586372189	0.583116599	0.579957456	0.576889264	0.573906993	0.571006022	0.568182094	0.565431285	0.562749962	0.56013476	0.557582555	0.55509044	0.552655707	0.550275826	0.547948435	0.54567132	0.543442405	0.541259742	0.539121498	0.537025947	0.534971464	0.532956514	0.530979646	0.52903949	0.527134746	0.525264185	0.52342664	0.521621001	0.519846215	0.51810128	0.516385243	0.514697194	0.513036267	0.511401634	0.509792507	0.508208129	0.506647781	0.50511077	0.503596436	0.502104145	0.50063329	0.499183289	0.49775358	0.496343629	0.494952918	0.493580951	0.492227251	0.490891359	0.489572832	0.488271244	0.486986185	0.485717258	0.484464083	0.483226289	0.482003522	0.480795437	0.479601702	0.478421998	0.477256012	0.476103445	0.474964007	0.473837415	0.472723398	0.471621692	0.470532041	0.469454197	0.468387921	0.467332978	0.466289142	0.465256195	0.464233923	0.463222118	0.462220581	0.461229115	0.460247531	0.459275644	0.458313275	0.457360248	0.456416395	0.45548155	0.454555551	0.453638243	0.452729472	0.45182909	0.450936952	0.450052917	0.449176847	0.448308609	0.44744807	0.446595105	0.445749587	0.444911397	0.444080414	0.443256525	0.442439614	0.441629573	0.440826293	0.440029669	0.439239599	0.438455981
1:167356611	0.962205141	0.944423446	0.930626118	0.91898026	0.908747356	0.899538362	0.89111736	0.883328042	0.876060293	0.869232961	0.86278413	0.856665242	0.850837354	0.845268653	0.839932738	0.834807408	0.829873772	0.825115599	0.820518816	0.816071123	0.811761696	0.80758095	0.803520345	0.799572235	0.795729743	0.791986654	0.78833733	0.784776637	0.781299885	0.777902775	0.774581356	0.771331985	0.768151297	0.765036172	0.761983715	0.758991233	0.756056214	0.753176311	0.750349329	0.74757321	0.744846022	0.742165947	0.739531275	0.736940392	0.734391775	0.731883983	0.729415652	0.726985491	0.724592273	0.722234835	0.719912068	0.71762292	0.715366387	0.713141514	0.710947386	0.708783132	0.706647919	0.704540949	0.702461461	0.700408723	0.698382035	0.696380724	0.694404145	0.69245168	0.690522731	0.688616728	0.686733118	0.684871372	0.683030978	0.681211444	0.679412294	0.677633072	0.675873334	0.674132654	0.672410619	0.670706831	0.669020903	0.667352463	0.66570115	0.664066614	0.662448518	0.660846532	0.65926034	0.657689632	0.656134111	0.654593486	0.653067476	0.651555806	0.650058213	0.648574438	0.647104229	0.645647345	0.644203547	0.642772605	0.641354295	0.639948399	0.638554704	0.637173003	0.635803095	0.634444784	0.633097877	0.63176219	0.630437539	0.629123747	0.627820642	0.626528055	0.625245821	0.623973779	0.622711773	0.621459648	0.620217256	0.618984451	0.617761089	0.61654703	0.615342139	0.614146281	0.612959327	0.611781149	0.610611622	0.609450623	0.608298034	0.607153737	0.606017619	0.604889566	0.603769469	0.602657221	0.601552716	0.600455852	0.599366527
1:168475583	0.872522774	0.870932734	0.869325832	0.867701963	0.866061023	0.864402911	0.862727525	0.861034767	0.859324538	0.857596743	0.855851287	0.854088076	0.85230702	0.850508029	0.848691015	0.846855893	0.845002578	0.84313099	0.841241048	0.839332676	0.837405798	0.835460341	0.833496234	0.831513411	0.829511804	0.827491352	0.825451994	0.823393673	0.821316333	0.819219924	0.817104395	0.814969702	0.812815801	0.810642652	0.80845022	0.80623847	0.804007374	0.801756904	0.799487038	0.797197756	0.794889042	0.792560885	0.790213276	0.787846211	0.785459689	0.783053713	0.780628292	0.778183435	0.77571916	0.773235485	0.770732435	0.768210039	0.765668328	0.763107341	0.760527119	0.757927708	0.75530916	0.752671529	0.750014877	0.747339267	0.744644771	0.741931461	0.739199419	0.736448727	0.733679477	0.730891761	0.72808568	0.725261337	0.722418843	0.719558311	0.716679862	0.713783621	0.710869717	0.707938285	0.704989467	0.702023407	0.699040257	0.696040172	0.693023315	0.689989851	0.686939952	0.683873795	0.680791562	0.677693441	0.674579624	0.671450308	0.668305696	0.665145997	0.661971423	0.658782191	0.655578526	0.652360654	0.649128808	0.645883227	0.642624152	0.639351831	0.636066516	0.632768464	0.629457934	0.626135194	0.622800513	0.619454165	0.61609643	0.61272759	0.609347933	0.605957749	0.602557334	0.599146987	0.595727009	0.592297709	0.588859395	0.585412381	0.581956984	0.578493523	0.575022322	0.571543708	0.568058008	0.564565555	0.561066683	0.557561729	0.554051033	0.550534937	0.547013783	0.543487918	0.53995769	0.536423448	0.532885543	0.529344328	0.525800156
1:171118726	0.577705477	0.520250544	0.48629122	0.462254904	0.443725243	0.42869842	0.41609406	0.405263049	0.39578501	0.387372227	0.379819233	0.37297425	0.366722037	0.360973068	0.355656442	0.350715069	0.346102321	0.341779633	0.337714755	0.333880453	0.330253526	0.32681405	0.323544795	0.320430762	0.317458816	0.314617393	0.311896261	0.309286321	0.306779452	0.304368373	0.302046535	0.299808022	0.297647479	0.295560039	0.293541269	0.291587116	0.289693871	0.287858127	0.28607675	0.284346849	0.282665754	0.281030991	0.279440266	0.277891447	0.276382552	0.27491173	0.273477254	0.27207751	0.270710986	0.269376263	0.268072012	0.266796981	0.265549992	0.264329936	0.263135766	0.261966495	0.260821189	0.259698962	0.25859898	0.257520448	0.256462613	0.255424761	0.254406212	0.253406321	0.252424472	0.251460079	0.250512583	0.249581453	0.248666178	0.247766273	0.246881273	0.246010735	0.245154232	0.244311357	0.24348172	0.242664947	0.241860679	0.241068571	0.240288291	0.239519523	0.238761961	0.23801531	0.237279287	0.236553621	0.235838048	0.235132317	0.234436184	0.233749413	0.233071778	0.232403061	0.231743049	0.23109154	0.230448336	0.229813246	0.229186086	0.228566679	0.227954851	0.227350435	0.226753271	0.226163201	0.225580074	0.225003742	0.224434065	0.223870902	0.22331412	0.222763589	0.222219183	0.221680779	0.221148258	0.220621504	0.220100406	0.219584853	0.21907474	0.218569963	0.218070422	0.217576019	0.217086659	0.21660225	0.216122702	0.215647926	0.215177838	0.214712354	0.214251393	0.213794876	0.213342726	0.212894868	0.212451228	0.212011736	0.21157632
1:176997791	0.595594982	0.665537375	0.703516527	0.728889436	0.74760355	0.762244687	0.77415954	0.784133818	0.792663514	0.80008048	0.806616921	0.812441215	0.81767905	0.822426547	0.826758731	0.830735192	0.834403984	0.837804377	0.840968838	0.843924492	0.846694212	0.84929745	0.851750871	0.854068855	0.856263887	0.858346871	0.860327377	0.862213853	0.864013784	0.865733832	0.867379951	0.868957482	0.87047123	0.871925535	0.873324328	0.874671177	0.875969335	0.87722177	0.878431198	0.879600112	0.880730804	0.881825385	0.882885803	0.883913861	0.884911229	0.885879456	0.886819982	0.887734149	0.888623208	0.889488326	0.890330594	0.891151036	0.891950609	0.892730213	0.893490694	0.894232846	0.89495742	0.89566512	0.896356614	0.897032531	0.897693466	0.898339984	0.898972617	0.899591873	0.900198231	0.900792147	0.901374055	0.901944368	0.902503477	0.903051757	0.903589564	0.904117238	0.904635104	0.905143471	0.905642635	0.906132879	0.906614475	0.907087682	0.907552748	0.908009912	0.908459401	0.908901436	0.909336225	0.909763972	0.910184869	0.910599105	0.911006857	0.911408299	0.911803597	0.912192911	0.912576395	0.912954198	0.913326462	0.913693326	0.914054924	0.914411383	0.914762829	0.915109381	0.915451155	0.915788264	0.916120816	0.916448915	0.916772663	0.917092159	0.917407498	0.917718771	0.918026068	0.918329475	0.918629076	0.918924953	0.919217185	0.919505847	0.919791015	0.920072759	0.920351151	0.920626258	0.920898146	0.921166879	0.92143252	0.921695129	0.921954765	0.922211486	0.922465348	0.922716403	0.922964706	0.923210308	0.923453259	0.923693608	0.923931401
1:179647057	0.630967739	0.565901822	0.526598838	0.498482278	0.476670827	0.458911643	0.443975657	0.431117879	0.419852509	0.409845216	0.400856147	0.392707455	0.385263667	0.378419249	0.372090424	0.366209595	0.360721451	0.355580174	0.350747395	0.346190671	0.341882333	0.3377986	0.333918883	0.33022525	0.326701984	0.32333524	0.320112759	0.317023638	0.314058137	0.311207525	0.30846394	0.305820284	0.303270125	0.30080762	0.298427441	0.296124722	0.293895005	0.291734195	0.289638526	0.287604522	0.285628974	0.283708907	0.281841564	0.280024383	0.278254977	0.276531124	0.274850747	0.273211906	0.271612781	0.270051669	0.268526971	0.267037181	0.265580885	0.26415675	0.262763518	0.261400001	0.260065077	0.258757684	0.257476818	0.256221525	0.2549909	0.253784086	0.252600268	0.251438668	0.250298549	0.249179207	0.248079972	0.247000205	0.245939296	0.24489666	0.243871742	0.242864007	0.241872947	0.240898072	0.239938916	0.238995028	0.23806598	0.237151358	0.236250766	0.235363823	0.234490162	0.233629433	0.232781296	0.231945425	0.231121506	0.230309238	0.229508328	0.228718496	0.22793947	0.22717099	0.226412801	0.225664662	0.224926336	0.224197595	0.22347822	0.222767997	0.222066721	0.221374192	0.220690218	0.220014611	0.219347191	0.218687782	0.218036214	0.217392323	0.216755948	0.216126935	0.215505132	0.214890394	0.21428258	0.21368155	0.213087171	0.212499314	0.211917851	0.21134266	0.210773622	0.210210619	0.20965354	0.209102273	0.208556712	0.208016752	0.207482292	0.206953232	0.206429477	0.205910933	0.205397507	0.204889111	0.204385658	0.203887062	0.203393242
