Chr	Start	End	No. Probes	Features	Descriptions	Mean Custom_library	StDev Custom_library	Mean xGen_library	StDev xGen_library	Mean Noenrichment_library	StDev Noenrichment_library
1	13126776	13126777	1			55.124985	0.0	41.24727	0.0	0.15950783	0.0
1	13126897	13126898	1			46.342476	0.0	33.128464	0.0	0.045573663	0.0
1	13126903	13126904	1			47.036747	0.0	33.7817	0.0	0.045573663	0.0
1	13659712	13659713	1			79.52855	0.0	61.24877	0.0	0.25065514	0.0
1	15287263	15287264	1			32.24881	0.0	21.46351	0.0	0.022786831	0.0
1	16093353	16093354	1			32.42238	0.0	23.143263	0.0	0.045573663	0.0
1	42491877	42491878	1			45.925915	0.0	35.02596	0.0	0.06836049	0.0
1	42491879	42491880	1			45.64821	0.0	35.02596	0.0	0.06836049	0.0
1	42491910	42491911	1			48.008724	0.0	36.425755	0.0	0.11393416	0.0
1	42694085	42694086	1			41.65616	0.0	31.106537	0.0	0.06836049	0.0
1	42694763	42694764	1			25.444971	0.0	17.357449	0.0	0.045573663	0.0
1	42694802	42694803	1			24.334139	0.0	17.295235	0.0	0.022786831	0.0
1	42697622	42697623	1			28.15262	0.0	20.530315	0.0	0.06836049	0.0
1	55363538	55363539	1			32.387665	0.0	24.511951	0.0	0.045573663	0.0
1	55363551	55363552	1			32.943077	0.0	24.916336	0.0	0.045573663	0.0
1	55363555	55363556	1			34.192764	0.0	25.973959	0.0	0.045573663	0.0
1	55363577	55363578	1			35.442448	0.0	26.471663	0.0	0.06836049	0.0
1	58165381	58165382	1			60.436142	0.0	43.611366	0.0	0.15950783	0.0
1	63273207	63273208	1			20.550371	0.0	14.122368	0.0	0.06836049	0.0
1	63273286	63273287	1			25.722677	0.0	18.290644	0.0	0.06836049	0.0
1	63273288	63273289	1			25.375544	0.0	18.041792	0.0	0.06836049	0.0
1	63273291	63273292	1			25.167263	0.0	17.917366	0.0	0.06836049	0.0
1	63273312	63273313	1			23.188595	0.0	16.455359	0.0	0.06836049	0.0
1	74783810	74783811	1			50.438667	0.0	38.478786	0.0	0.15950783	0.0
1	75015945	75015946	1			57.763206	0.0	44.264603	0.0	0.18229465	0.0
1	85109189	85109190	1			123.4758	0.0	86.351746	0.0	0.3645893	0.0
1	89930356	89930357	1			33.949768	0.0	24.574165	0.0	0.06836049	0.0
