Chr	Start	End	No. Probes	Features	Descriptions	Mean Custom_library	StDev Custom_library	Mean xGen_library	StDev xGen_library	Mean Noenrichment_library	StDev Noenrichment_library
1	13126776	13126777	1			1588.0	0.0	1326.0	0.0	7.0	0.0
1	13126897	13126898	1			1335.0	0.0	1065.0	0.0	2.0	0.0
1	13126903	13126904	1			1355.0	0.0	1086.0	0.0	2.0	0.0
1	13659712	13659713	1			2291.0	0.0	1969.0	0.0	11.0	0.0
1	15287263	15287264	1			929.0	0.0	690.0	0.0	1.0	0.0
1	16093353	16093354	1			934.0	0.0	744.0	0.0	2.0	0.0
1	42491877	42491878	1			1323.0	0.0	1126.0	0.0	3.0	0.0
1	42491879	42491880	1			1315.0	0.0	1126.0	0.0	3.0	0.0
1	42491910	42491911	1			1383.0	0.0	1171.0	0.0	5.0	0.0
1	42694085	42694086	1			1200.0	0.0	1000.0	0.0	3.0	0.0
1	42694763	42694764	1			733.0	0.0	558.0	0.0	2.0	0.0
1	42694802	42694803	1			701.0	0.0	556.0	0.0	1.0	0.0
1	42697622	42697623	1			811.0	0.0	660.0	0.0	3.0	0.0
1	55363538	55363539	1			933.0	0.0	788.0	0.0	2.0	0.0
1	55363551	55363552	1			949.0	0.0	801.0	0.0	2.0	0.0
1	55363555	55363556	1			985.0	0.0	835.0	0.0	2.0	0.0
1	55363577	55363578	1			1021.0	0.0	851.0	0.0	3.0	0.0
1	58165381	58165382	1			1741.0	0.0	1402.0	0.0	7.0	0.0
1	63273207	63273208	1			592.0	0.0	454.0	0.0	3.0	0.0
1	63273286	63273287	1			741.0	0.0	588.0	0.0	3.0	0.0
1	63273288	63273289	1			731.0	0.0	580.0	0.0	3.0	0.0
1	63273291	63273292	1			725.0	0.0	576.0	0.0	3.0	0.0
1	63273312	63273313	1			668.0	0.0	529.0	0.0	3.0	0.0
1	74783810	74783811	1			1453.0	0.0	1237.0	0.0	7.0	0.0
1	75015945	75015946	1			1664.0	0.0	1423.0	0.0	8.0	0.0
1	85109189	85109190	1			3557.0	0.0	2776.0	0.0	16.0	0.0
1	89930356	89930357	1			978.0	0.0	790.0	0.0	3.0	0.0
1	89931151	89931152	1			1383.0	0.0	1134.0	0.0	5.0	0.0
1	89931154	89931155	1			1375.0	0.0	1135.0	0.0	4.0	0.0
1	89992391	89992392	1			951.0	0.0	748.0	0.0	1.0	0.0
1	101902585	101902586	1			1759.0	0.0	1469.0	0.0	6.0	0.0
1	109982672	109982673	1			559.0	0.0	450.0	0.0	1.0	0.0
1	109983103	109983104	1			978.0	0.0	770.0	0.0	5.0	0.0
1	109983111	109983112	1			927.0	0.0	729.0	0.0	5.0	0.0
1	109983116	109983117	1			900.0	0.0	707.0	0.0	5.0	0.0
1	112416723	112416724	1			1287.0	0.0	1070.0	0.0	6.0	0.0
1	120600185	120600186	1			1554.0	0.0	1227.0	0.0	9.0	0.0
1	126925769	126925770	1			1837.0	0.0	1501.0	0.0	6.0	0.0
1	132767697	132767698	1			2054.0	0.0	1702.0	0.0	14.0	0.0
1	132951989	132951990	1			1710.0	0.0	1406.0	0.0	5.0	0.0
1	134998387	134998388	1			1064.0	0.0	893.0	0.0	2.0	0.0
1	135374460	135374461	1			1541.0	0.0	1226.0	0.0	6.0	0.0
1	152956175	152956176	1			1283.0	0.0	1058.0	0.0	6.0	0.0
1	157444638	157444639	1			1636.0	0.0	1298.0	0.0	5.0	0.0
1	164693668	164693669	1			0.0	0.0	0.0	0.0	3.0	0.0
1	179842633	179842634	1			1419.0	0.0	1150.0	0.0	4.0	0.0
1	184882832	184882833	1			1310.0	0.0	1123.0	0.0	5.0	0.0
1	185455119	185455120	1			1007.0	0.0	843.0	0.0	4.0	0.0
1	185455219	185455220	1			1140.0	0.0	948.0	0.0	3.0	0.0
1	185455370	185455371	1			1283.0	0.0	1032.0	0.0	4.0	0.0
2	6730156	6730157	1			1932.0	0.0	1588.0	0.0	5.0	0.0
2	7063783	7063784	1			1735.0	0.0	1460.0	0.0	9.0	0.0
2	9884576	9884577	1			1282.0	0.0	1027.0	0.0	4.0	0.0
2	16400594	16400595	1			1036.0	0.0	892.0	0.0	4.0	0.0
2	21237200	21237201	1			1926.0	0.0	1654.0	0.0	7.0	0.0
2	29195635	29195636	1			1190.0	0.0	971.0	0.0	5.0	0.0
2	29198493	29198494	1			1885.0	0.0	1609.0	0.0	9.0	0.0
2	30652644	30652645	1			1007.0	0.0	802.0	0.0	5.0	0.0
2	30652665	30652666	1			1073.0	0.0	856.0	0.0	5.0	0.0
2	30652730	30652731	1			977.0	0.0	744.0	0.0	3.0	0.0
2	33975929	33975930	1			1446.0	0.0	1124.0	0.0	6.0	0.0
2	37793601	37793602	1			1300.0	0.0	1098.0	0.0	1.0	0.0
2	54436805	54436806	1			1044.0	0.0	849.0	0.0	4.0	0.0
2	54436939	54436940	1			1328.0	0.0	1146.0	0.0	2.0	0.0
2	54437069	54437070	1			1612.0	0.0	1424.0	0.0	5.0	0.0
2	54437205	54437206	1			2162.0	0.0	1862.0	0.0	12.0	0.0
2	57109445	57109446	1			2178.0	0.0	1683.0	0.0	7.0	0.0
2	57111362	57111363	1			1405.0	0.0	1172.0	0.0	3.0	0.0
2	57111388	57111389	1			1469.0	0.0	1243.0	0.0	1.0	0.0
2	57111502	57111503	1			1828.0	0.0	1548.0	0.0	4.0	0.0
2	57111641	57111642	1			1487.0	0.0	1156.0	0.0	7.0	0.0
2	57112007	57112008	1			1755.0	0.0	1413.0	0.0	5.0	0.0
2	57112041	57112042	1			1757.0	0.0	1428.0	0.0	4.0	0.0
2	59829395	59829396	1			1408.0	0.0	1156.0	0.0	3.0	0.0
2	61815602	61815603	1			563.0	0.0	447.0	0.0	1.0	0.0
2	61815608	61815609	1			593.0	0.0	484.0	0.0	1.0	0.0
2	61815777	61815778	1			929.0	0.0	783.0	0.0	3.0	0.0
2	63184154	63184155	1			801.0	0.0	648.0	0.0	0.0	0.0
2	63184156	63184157	1			811.0	0.0	649.0	0.0	0.0	0.0
2	63184163	63184164	1			867.0	0.0	687.0	0.0	2.0	0.0
2	63184233	63184234	1			910.0	0.0	722.0	0.0	4.0	0.0
2	63184245	63184246	1			865.0	0.0	673.0	0.0	4.0	0.0
2	63184273	63184274	1			576.0	0.0	456.0	0.0	4.0	0.0
2	68383838	68383839	1			2080.0	0.0	1772.0	0.0	9.0	0.0
2	74655649	74655650	1			987.0	0.0	831.0	0.0	4.0	0.0
2	74655825	74655826	1			956.0	0.0	836.0	0.0	3.0	0.0
2	74655990	74655991	1			1228.0	0.0	1064.0	0.0	5.0	0.0
2	74682449	74682450	1			1111.0	0.0	900.0	0.0	2.0	0.0
2	74682458	74682459	1			1121.0	0.0	894.0	0.0	2.0	0.0
2	75425568	75425569	1			1704.0	0.0	1463.0	0.0	5.0	0.0
2	77816430	77816431	1			929.0	0.0	778.0	0.0	4.0	0.0
2	77816438	77816439	1			957.0	0.0	794.0	0.0	4.0	0.0
2	77816575	77816576	1			1093.0	0.0	969.0	0.0	5.0	0.0
2	77816583	77816584	1			1093.0	0.0	964.0	0.0	5.0	0.0
2	77816782	77816783	1			1150.0	0.0	1015.0	0.0	4.0	0.0
2	77816901	77816902	1			883.0	0.0	800.0	0.0	4.0	0.0
2	77816917	77816918	1			884.0	0.0	784.0	0.0	4.0	0.0
2	84184889	84184890	1			1457.0	0.0	1261.0	0.0	6.0	0.0
2	91645789	91645790	1			2325.0	0.0	1977.0	0.0	8.0	0.0
2	93014386	93014387	1			1511.0	0.0	1285.0	0.0	2.0	0.0
2	93365728	93365729	1			1745.0	0.0	1401.0	0.0	4.0	0.0
2	93365751	93365752	1			1803.0	0.0	1447.0	0.0	4.0	0.0
2	122665822	122665823	1			1229.0	0.0	949.0	0.0	7.0	0.0
2	124938346	124938347	1			1419.0	0.0	1125.0	0.0	3.0	0.0
2	127552852	127552853	1			1659.0	0.0	1325.0	0.0	2.0	0.0
2	130638074	130638075	1			1857.0	0.0	1446.0	0.0	2.0	0.0
2	130638082	130638083	1			1855.0	0.0	1436.0	0.0	2.0	0.0
2	130638090	130638091	1			1841.0	0.0	1428.0	0.0	2.0	0.0
2	130638097	130638098	1			1848.0	0.0	1444.0	0.0	2.0	0.0
2	131524854	131524855	1			1833.0	0.0	1539.0	0.0	7.0	0.0
2	131561342	131561343	1			1434.0	0.0	1123.0	0.0	4.0	0.0
2	133553339	133553340	1			1142.0	0.0	950.0	0.0	4.0	0.0
2	133554552	133554553	1			1239.0	0.0	993.0	0.0	4.0	0.0
2	133554559	133554560	1			1260.0	0.0	1004.0	0.0	3.0	0.0
2	133554566	133554567	1			1338.0	0.0	1076.0	0.0	3.0	0.0
2	133554575	133554576	1			1401.0	0.0	1119.0	0.0	3.0	0.0
2	133554672	133554673	1			612.0	0.0	512.0	0.0	1.0	0.0
2	143546106	143546107	1			622.0	0.0	553.0	0.0	3.0	0.0
2	143862630	143862631	1			1283.0	0.0	1101.0	0.0	7.0	0.0
2	147180836	147180837	1			908.0	0.0	758.0	0.0	3.0	0.0
2	147180936	147180937	1			879.0	0.0	750.0	0.0	2.0	0.0
2	152156224	152156225	1			1249.0	0.0	964.0	0.0	8.0	0.0
2	153032202	153032203	1			998.0	0.0	847.0	0.0	3.0	0.0
2	154221007	154221008	1			1770.0	0.0	1466.0	0.0	7.0	0.0
2	158191198	158191199	1			1921.0	0.0	1587.0	0.0	11.0	0.0
